loan_id,state_code,county,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,loan_type,loan_purpose,lien_position,reverse_mortgage,open_end_line_of_credit,loan_amount,closing_date,first_payment_date,maturity_date,loan_term,principal_interest_pmt,interest_rate,property_value,total_loan_costs,origition_charges,other_loan_costs,lender_credits,prepayment_pelty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,occupancy_type,manufactured_home,total_units,income_thousands,recurring_monthly_debt,median_fico_score,credit_score_type,aus_type,umbs_code,target_profit
5021973,NC,Guilford    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,155000,2021-09-17,2021-11-01,2036-10-01,180,1040.4,2.625,210227,9275.400000000021,7936.000000000021,1339.4,,,,False,0,0,False,Primary residence,False,1,52,1907.0,622,Equifax Beacon 5.0,DU,UMBS 30YR 2.0,7750.000000000007
5023211,WA,Snohomish    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,775000,2021-08-25,2021-10-01,2051-09-01,360,3156.6400000000003,2.75,973496,14512.790000000008,14027.500000000007,485.29,,,,False,0,0,False,Primary residence,False,1,139,5445.0,623,Experian Fair Isaac,LP,UMBS 30YR 2.5,38750.00000000004
5023240,GA,Gwinnett    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,165000,2021-09-01,2021-10-01,2048-09-01,324,774.55,3.375,235715,1995.5000000000027,643.5000000000027,1352,,,,False,0,0,False,Primary residence,False,1,52,1777.0,623,FICO Risk Score Classic,DU,UMBS 30YR 3.0,8250.000000000007
5023303,NY,Orange    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-09-03,2021-10-01,2051-09-01,360,834.99,2.75,307531,5393.500000000001,3710.500000000001,1683,,,,False,0,0,False,Primary residence,False,1,118,3639.0,623,FICO Risk Score Classic,DU,UMBS 30YR 2.5,10250.00000000001
5022088,MI,Washtenaw    ,False,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,755000,2021-09-07,2021-10-01,2051-09-01,360,3124.96,2.875,956338,16815.51000000001,13665.500000000007,3150.01,,,,False,0,0,False,Primary residence,False,1,194,6790.0,623,FICO Risk Score Classic,,UMBS 30YR 2.5,37750.00000000004
5022201,TX,Hays    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,165000,2021-09-11,2021-10-01,2051-09-01,360,727.42,3.375,229199,1830.850000000003,643.5000000000027,1187.3500000000004,,,,False,0,0,False,Primary residence,False,1,52,1820.0,623,Equifax Beacon 5.0,DU,UMBS 30YR 3.0,8250.000000000007
5022474,TN,Davidson    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,105000,2021-09-14,2021-10-01,2051-09-01,360,477.42,3.625,132861,1599.300000000002,409.5000000000018,1189.8000000000002,,,,False,0,0,False,Primary residence,False,1,34,1077.0,623,Equifax Beacon 5.0,LP,UMBS 30YR 3.0,5250.000000000005
5022121,VA,Chesapeake city   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,155000,2021-09-14,2021-10-01,2046-09-01,300,753.3,3.25,234849,2349.5000000000027,604.5000000000027,1745,,,,False,0,0,False,Primary residence,False,1,38,1267.0,623,Experian Fair Isaac,DU,UMBS 30YR 3.0,7750.000000000007
5022501,GA,DeKalb    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,165000,2021-09-01,2021-10-01,2051-09-01,360,693.04,2.99,293699,4338.500000000001,2986.500000000001,1352,,,,False,0,0,False,Primary residence,False,1,73,1278.0,624,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,8250.000000000007
5023361,NC,Cabarrus    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,445000,2021-09-02,2021-10-01,2051-09-01,360,1931.44,3.25,637171,1984.08,0.0,1984.08,,,,False,0,0,False,Primary residence,False,1,163,2853.0,624,Equifax Beacon 5.0,DU,UMBS 15YR 3.0,22250.00000000002
5021792,AR,Sebastian    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,75000,2021-09-02,2021-10-01,2051-09-01,360,310.43,2.875,96987,3076.5499999999997,1357.5,1719.0499999999997,,,,False,0,0,False,Primary residence,False,1,24,520.0,624,Experian Fair Isaac,DU,UMBS 30YR 2.5,3750.000000000003
5022738,CA,San Bernardino   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,355000,2021-09-04,2021-10-01,2051-09-01,360,1445.95,2.75,394445,9419.0,6425.5,2993.5,,,,False,0,0,False,Second residence,False,1,250,7500.0,624,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,17750.000000000015
5021705,CA,Santa Clara   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,545000,2021-09-07,2021-10-01,2036-09-01,180,3532.3300000000004,2.125,1123944,41962.50000000001,41147.50000000001,815,,,,False,0,0,False,Primary residence,False,1,201,6365.0,624,FICO Risk Score Classic,DU,UMBS 30YR 1.5,27250.000000000025
5021745,FL,Miami-Dade,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,295000,2021-09-11,2021-10-01,2051-09-01,360,1221.01,2.875,505137,7084.130000000002,5339.500000000002,1744.63,,,,False,0,0,False,Primary residence,False,1,107,3032.0,624,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,14750.000000000013
5022330,NY,Westchester    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home improvement,1,False,False,505000,2021-09-17,2021-11-01,2036-10-01,180,3419.21,2.75,1439567,11841.500000000002,9140.500000000002,2701,,,,False,0,0,False,Primary residence,False,1,232,6187.0,624,Equifax Beacon 5.0,DU,UMBS 30YR 2.5,25250.000000000022
5022811,MI,Macomb    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,265000,2021-09-17,2021-11-01,2051-10-01,360,1113.05,2.99,353334,6867.0,4796.5,2070.5,,,,False,0,0,False,Primary residence,False,1,130,4225.0,624,Experian Fair Isaac,DU,UMBS 30YR 2.5,13250.000000000011
5021733,PA,Monroe    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-08-30,2021-10-01,2048-09-01,324,895.06,2.75,256250,5922.500000000001,3710.500000000001,2212,,,,False,0,0,False,Primary residence,False,1,80,1734.0,625,Experian Fair Isaac,DU,UMBS 30YR 2.5,10250.00000000001
5021841,VA,Staunton city   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,85000,2021-09-03,2021-10-01,2036-09-01,180,575.51,2.75,166211,3147.11,1538.5000000000005,1608.6099999999997,,,,False,0,0,False,Primary residence,False,1,44,1724.0,625,FICO Risk Score Classic,LP,UMBS 30YR 2.5,4250.000000000004
5022021,MA,Plymouth    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,335000,2021-09-04,2021-10-01,2036-09-01,180,2190.4300000000003,2.25,570893,18535.000000000044,17152.000000000044,1383,,,,False,0,0,False,Primary residence,False,1,249,6848.0,625,Equifax Beacon 5.0,LP,UMBS 30YR 2.0,16750.000000000015
5022231,VA,Alexandria city   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,375000,2021-09-06,2021-10-01,2033-09-01,144,2924.7700000000004,1.99,852855,30160.40000000001,28312.500000000007,1847.8999999999996,,,,False,0,0,False,Primary residence,False,1,138,4255.0,625,Experian Fair Isaac,DU,UMBS 30YR 1.5,18750.00000000002
5022353,NY,Kings    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,265000,2021-09-16,2021-11-01,2051-10-01,360,1186.51,3.5,550021,3257.5000000000036,1033.5000000000036,2224,,,,False,0,0,False,Investment property,False,1,160,4134.0,625,Experian Fair Isaac,LP,UMBS 30YR 3.0,13250.000000000011
5022892,MD,Baltimore    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,275000,2021-08-14,2021-09-01,2051-08-01,360,1174.98,3.125,343750,6924.500000000002,4977.500000000002,1947,,,,False,0,0,False,Primary residence,False,1,68,2210.0,626,Equifax Beacon 5.0,DU,UMBS 30YR 2.5,13750.000000000013
5023167,TX,Harris    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,195000,2021-09-02,2021-10-01,2051-09-01,360,886.63,3.625,260000,3471.1000000000035,760.5000000000036,2710.6,,,,False,0,0,False,Primary residence,False,1,59,1770.0,626,Experian Fair Isaac,DU,UMBS 30YR 3.0,9750.00000000001
5023479,UT,Juab    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,185000,2021-09-04,2021-10-01,2036-09-01,180,1241.76,2.625,449575,11294.000000000025,9472.000000000025,1822,,,,False,0,0,False,Primary residence,False,1,71,2308.0,626,Equifax Beacon 5.0,DU,UMBS 30YR 2.0,9250.00000000001
5022398,TX,Fort Bend   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,215000,2021-09-04,2021-10-01,2031-09-01,120,1963.21,1.875,390910,16589.99,16232.500000000002,357.4899999999998,,,,False,0,0,False,Primary residence,False,1,151,4530.0,626,Equifax Beacon 5.0,DU,UMBS 30YR 1.5,10750.00000000001
5023149,CA,Orange    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,645000,2021-09-10,2021-10-01,2036-09-01,180,4367.110000000001,2.75,1372341,12513.510000000004,11674.500000000004,839.01,,,,False,0,0,False,Investment property,False,1,390,12350.0,626,Experian Fair Isaac,DU,UMBS 30YR 2.5,32250.00000000003
5023154,CA,Sacramento    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,595000,2021-09-16,2021-11-01,2051-10-01,360,2563.1200000000003,3.19,713002,10769.500000000004,10769.500000000004,0,,,,False,0,0,False,Primary residence,False,1,124,3824.0,626,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,29750.000000000025
5023489,PA,Chester    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,255000,2021-08-24,2021-10-01,2051-09-01,360,1055.45,2.875,364286,7735.000000000001,4615.500000000001,3119.5,,,,False,0,0,False,Primary residence,False,1,67,2513.0,627,Experian Fair Isaac,LP,UMBS 30YR 2.5,12750.000000000011
5021772,CA,Santa Barbara   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,355000,2021-08-26,2021-10-01,2051-09-01,360,1469.35,2.875,373685,9061.0,6425.5,2635.5,1729.81,,,False,0,0,False,Primary residence,False,1,168,6160.0,627,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,17750.000000000015
5021882,OK,Tulsa    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,225000,2021-09-01,2021-10-01,2051-09-01,360,1007.42,3.5,264706,984.5000000000018,877.5000000000018,107,,,,False,0,0,False,Primary residence,False,1,65,2113.0,627,Experian Fair Isaac,LP,UMBS 30YR 3.0,11250.00000000001
5022863,CA,Santa Clara   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,725000,2021-09-02,2021-10-01,2051-09-01,360,3000.7900000000004,2.875,1048598,14581.0,13122.5,1458.4999999999995,,,,False,0,0,False,Primary residence,False,1,131,5022.0,627,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,36250.00000000003
5023519,MI,Wayne    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,265000,2021-09-03,2021-10-01,2051-09-01,360,1096.84,2.875,465894,5261.5,4796.5,465,,,,False,0,0,False,Primary residence,False,1,62,2015.0,627,FICO Risk Score Classic,DU,UMBS 30YR 2.5,13250.000000000011
5023290,AL,Houston    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,245000,2021-09-08,2021-10-01,2041-09-01,240,1310.37,2.625,310717,13681.000000000033,12544.000000000033,1137,,,,False,0,0,False,Primary residence,False,1,133,1663.0,627,Equifax Beacon 5.0,LP,UMBS 30YR 2.0,12250.000000000011
5021823,MD,Wicomico    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,155000,2021-09-10,2021-10-01,2051-09-01,360,683.33,3.375,203948,2404.0000000000027,604.5000000000027,1799.5,,,,False,0,0,False,Primary residence,False,1,107,3300.0,627,FICO Risk Score Classic,DU,UMBS 30YR 3.0,7750.000000000007
5022658,NJ,Bergen    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,335000,2021-09-11,2021-10-01,2051-09-01,360,1386.57,2.875,659969,7718.000000000002,6063.500000000002,1654.5,,,,False,0,0,False,Primary residence,False,1,81,3173.0,627,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,16750.000000000015
5022663,CA,San Bernardino   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,215000,2021-09-14,2021-10-01,2051-09-01,360,933.17,3.25,333800,2443.000000000002,838.5000000000018,1604.5,,,,False,0,0,False,Primary residence,False,1,206,1717.0,627,FICO Risk Score Classic,LP,UMBS 30YR 3.0,10750.00000000001
5023419,MI,Kent    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,175000,2021-08-24,2021-10-01,2036-09-01,180,1144.26,2.25,318182,10923.000000000024,8960.000000000024,1963,,,,False,0,0,False,Primary residence,False,1,52,1560.0,628,FICO Risk Score Classic,LP,UMBS 30YR 2.0,8750.000000000007
5022912,TN,Sevier    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,265000,2021-09-01,2021-10-01,2051-09-01,360,1113.05,2.99,294445,7088.5,4796.5,2292,,,,False,0,0,False,Second residence,False,1,90,3150.0,628,Experian Fair Isaac,DU,UMBS 30YR 2.5,13250.000000000011
5023076,GA,Gwinnett    ,False,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,555000,2021-09-01,2021-10-01,2051-09-01,360,2297.15,2.875,693750,12134.980000000003,10045.500000000004,2089.48,,,,False,0,0,False,Primary residence,False,1,122,4677.0,628,Experian Fair Isaac,DU,UMBS 30YR 2.5,27750.000000000025
5023276,UT,Salt Lake   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,475000,2021-09-01,2021-10-01,2051-09-01,360,1934.72,2.75,500000,10262.500000000004,8597.500000000004,1665,,,,False,0,0,False,Primary residence,False,1,104,3987.0,628,FICO Risk Score Classic,DU,UMBS 30YR 2.5,23750.000000000022
5023401,CT,Fairfield    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,375000,2021-09-03,2021-10-01,2051-09-01,360,1552.1299999999999,2.875,527946,9111.800000000003,6787.500000000004,2324.3,,,,False,0,0,False,Primary residence,False,1,140,3850.0,628,FICO Risk Score Classic,DU,UMBS 30YR 2.5,18750.00000000002
5022024,NY,Chautauqua    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,65000,2021-09-04,2021-10-01,2051-09-01,360,286.56,3.375,68429,3369.5000000000014,253.5000000000009,3116.0000000000005,,,,False,0,0,False,Primary residence,False,1,97,2345.0,628,FICO Risk Score Classic,DU,UMBS 30YR 3.0,3250.0000000000027
5022445,MA,Plymouth    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,325000,2021-09-07,2021-10-01,2051-09-01,360,1323.76,2.75,476470,7174.500000000002,5882.500000000002,1292,,,,False,0,0,False,Primary residence,False,1,119,3174.0,628,Equifax Beacon 5.0,LP,UMBS 30YR 2.5,16250.000000000015
5022764,MN,Wright    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,235000,2021-09-07,2021-10-01,2033-09-01,144,1886.72,2.5,398306,13297.950000000033,12032.000000000033,1265.9499999999998,,,,False,0,0,False,Primary residence,False,1,143,2860.0,628,Equifax Beacon 5.0,DU,UMBS 30YR 2.0,11750.000000000011
5022827,FL,Orange    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,255000,2021-09-09,2021-10-01,2041-09-01,240,1286.67,1.99,276753,21627.050000000003,19252.500000000004,2374.5499999999993,,,,False,0,0,False,Primary residence,False,1,157,1832.0,628,FICO Risk Score Classic,LP,UMBS 30YR 1.5,12750.000000000011
5022722,MD,Howard    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,325000,2021-09-11,2021-10-01,2036-09-01,180,2143.76,2.375,420006,17367.000000000044,16640.000000000044,727,,,,False,0,0,False,Primary residence,False,1,94,3134.0,628,FICO Risk Score Classic,DU,UMBS 30YR 2.0,16250.000000000015
5022824,AL,Lee    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,175000,2021-08-28,2021-10-01,2051-09-01,360,735.04,2.99,222449,4170.5,3167.5,1003,,,,False,0,0,False,Primary residence,False,1,42,1260.0,629,FICO Risk Score Classic,LP,UMBS 30YR 2.5,8750.000000000007
5023253,AL,Madison    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,175000,2021-09-16,2021-11-01,2036-10-01,180,1144.26,2.25,253624,10703.500000000024,8960.000000000024,1743.5,,,,False,0,0,False,Primary residence,False,1,120,1300.0,629,FICO Risk Score Classic,DU,UMBS 30YR 2.0,8750.000000000007
5023370,CA,Ventura    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home improvement,1,False,False,365000,2021-08-24,2021-10-01,2051-09-01,360,1584.22,3.25,1518303,3280.5000000000036,1423.5000000000036,1857,,,,False,0,0,False,Primary residence,False,1,99,3630.0,630,Experian Fair Isaac,DU,UMBS 30YR 3.0,18250.000000000015
