loan_id,state_code,county,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,loan_type,loan_purpose,lien_position,reverse_mortgage,open_end_line_of_credit,loan_amount,closing_date,first_payment_date,maturity_date,loan_term,principal_interest_pmt,interest_rate,umbs_code,property_value,total_loan_costs,origition_charges,other_loan_costs,lender_credits,prepayment_pelty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,occupancy_type,manufactured_home,total_units,income_thousands,recurring_monthly_debt,median_fico_score,credit_score_type,aus_type,base_margin,umbs_price,trade_margin,target_profit,trade_premium,points_and_fees,total_loan_revenue,gross_profit,profit_margin,winning_bid,winner,actual_trade_premium,acctual_loan_revenue,actual_profit_margin
5021503,AZ,Maricopa    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,315000,2021-09-02,2021-10-01,2051-09-01,360,1323.06,2.99,UMBS 30YR 2.5,571377,7124.000000000002,5701.500000000002,1422.5,,,,False,0,0,False,Primary residence,False,1,115,4217.0,621,Equifax Beacon 5.0,LP,1.05,103.19,0.03190000000000004,15750.000000000015,10048.500000000013,5701.500000000002,15750.000000000015,15750.000000000015,0.050000000000000044,0.03189999999999998,umbs_price,10048.499999999993,,
5021509,IN,Madison    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,215000,2021-09-07,2021-10-01,2051-09-01,360,903.04,2.99,UMBS 30YR 2.5,307143,5091.000000000001,3891.500000000001,1199.5,,,,False,0,0,False,Primary residence,False,1,112,3920.0,621,FICO Risk Score Classic,DU,1.05,103.19,0.03190000000000004,10750.00000000001,6858.500000000008,3891.500000000001,10750.00000000001,10750.00000000001,0.050000000000000044,0.03189999999999998,umbs_price,6858.499999999995,,
5021523,FL,Clay    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,205000,2021-09-08,2021-10-01,2051-09-01,360,903.76,3.375,UMBS 30YR 3.0,256250,2843.9000000000033,799.5000000000036,2044.3999999999996,,,,False,0,0,False,Primary residence,False,1,113,1413.0,621,FICO Risk Score Classic,DU,1.05,104.61,0.04610000000000003,10250.00000000001,9450.500000000005,799.5000000000036,10250.00000000001,10250.00000000001,0.050000000000000044,0.046099999999999995,umbs_price,9450.499999999998,,
5021532,MI,Oakland    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,465000,2021-09-14,2021-10-01,2051-09-01,360,1893.99,2.75,UMBS 30YR 2.5,670029,8881.500000000004,8416.500000000004,464.99999999999994,,,,False,0,0,False,Primary residence,False,1,330,3575.0,621,FICO Risk Score Classic,DU,1.05,103.19,0.03190000000000004,23250.000000000022,14833.500000000018,8416.500000000004,23250.000000000022,23250.000000000022,0.050000000000000044,0.03189999999999998,umbs_price,14833.499999999989,,
5021581,AZ,Pinal    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,105000,2021-09-14,2021-10-01,2051-09-01,360,441.02,2.99,UMBS 30YR 2.5,328125,3010.9500000000003,1900.5000000000005,1110.4499999999998,,,,False,0,0,False,Primary residence,False,1,19,618.0,621,Equifax Beacon 5.0,DU,1.05,103.19,0.03190000000000004,5250.000000000005,3349.500000000004,1900.5000000000005,5250.000000000005,5250.000000000005,0.050000000000000044,0.03189999999999998,umbs_price,3349.4999999999977,,
5021598,WA,Lewis    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,135000,2021-09-17,2021-11-01,2051-10-01,360,595.16,3.375,UMBS 30YR 3.0,588492,2347.8000000000025,526.5000000000027,1821.2999999999997,,,,False,0,0,False,Primary residence,False,1,24,960.0,621,Experian Fair Isaac,LP,1.05,104.61,0.04610000000000003,6750.000000000006,6223.500000000004,526.5000000000027,6750.000000000006,6750.000000000006,0.050000000000000044,0.046099999999999995,umbs_price,6223.499999999999,,
5021612,TX,Guadalupe    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-09-17,2021-11-01,2046-10-01,300,956.5699999999999,2.875,UMBS 30YR 2.5,325397,3710.500000000001,3710.500000000001,0,,,,False,0,0,False,Primary residence,False,1,63,2153.0,621,Equifax Beacon 5.0,DU,1.05,103.19,0.03190000000000004,10250.00000000001,6539.500000000008,3710.500000000001,10250.00000000001,10250.00000000001,0.050000000000000044,0.03189999999999998,umbs_price,6539.499999999995,,
5022641,TX,Harris    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,165000,2021-08-27,2021-10-01,2036-09-01,180,1107.52,2.625,UMBS 30YR 2.0,225011,10772.000000000022,8448.000000000022,2324,,,,False,0,0,False,Primary residence,False,1,82,1845.0,622,Equifax Beacon 5.0,DU,1.05,99.88,-0.0012000000000000899,8250.000000000007,-198.00000000001484,8448.000000000022,8250.000000000007,8250.000000000007,0.050000000000000044,-0.0012000000000000454,umbs_price,-198.0000000000075,,
5022654,WA,Pierce    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,245000,2021-09-01,2021-10-01,2051-09-01,360,997.91,2.75,UMBS 30YR 2.5,655431,4584.000000000001,4434.500000000001,149.5,,,,False,0,0,False,Primary residence,False,1,65,2221.0,622,FICO Risk Score Classic,LP,1.05,103.19,0.03190000000000004,12250.000000000011,7815.50000000001,4434.500000000001,12250.000000000011,12250.000000000011,0.050000000000000044,0.03189999999999998,umbs_price,7815.4999999999945,,
5021853,TX,Dallas    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,125000,2021-09-03,2021-10-01,2036-09-01,180,875.97,3.25,UMBS 30YR 3.0,174557,3049.000000000002,487.5000000000018,2561.5,,,,False,0,0,False,Primary residence,False,1,38,1394.0,622,Experian Fair Isaac,DU,1.05,104.61,0.04610000000000003,6250.0000000000055,5762.500000000004,487.5000000000018,6250.0000000000055,6250.0000000000055,0.050000000000000044,0.046099999999999995,umbs_price,5762.499999999999,,
5022235,AL,Morgan    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,105000,2021-09-14,2021-10-01,2031-09-01,120,970.3199999999999,2.125,UMBS 30YR 1.5,150022,8868.0,7927.500000000001,940.5,,,,False,0,0,False,Primary residence,False,1,113,3673.0,622,FICO Risk Score Classic,LP,1.05,97.45,-0.025499999999999967,5250.000000000005,-2677.4999999999964,7927.500000000001,5250.000000000005,5250.000000000005,0.050000000000000044,-0.02549999999999997,umbs_price,-2677.499999999997,,
5023160,MD,Montgomery    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,255000,2021-09-16,2021-11-01,2051-10-01,360,1124.19,3.375,UMBS 30YR 3.0,405277,3217.6100000000038,994.5000000000036,2223.11,,,,False,0,0,False,Investment property,False,1,260,6934.0,622,Experian Fair Isaac,LP,1.05,104.61,0.04610000000000003,12750.000000000011,11755.500000000007,994.5000000000036,12750.000000000011,12750.000000000011,0.050000000000000044,0.046099999999999995,umbs_price,11755.499999999998,,
5021973,NC,Guilford    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,155000,2021-09-17,2021-11-01,2036-10-01,180,1040.4,2.625,UMBS 30YR 2.0,210227,9275.400000000021,7936.000000000021,1339.4,,,,False,0,0,False,Primary residence,False,1,52,1907.0,622,Equifax Beacon 5.0,DU,1.05,99.88,-0.0012000000000000899,7750.000000000007,-186.00000000001393,7936.000000000021,7750.000000000007,7750.000000000007,0.050000000000000044,-0.0012000000000000454,umbs_price,-186.00000000000705,,
5023211,WA,Snohomish    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,775000,2021-08-25,2021-10-01,2051-09-01,360,3156.6400000000003,2.75,UMBS 30YR 2.5,973496,14512.790000000008,14027.500000000007,485.29,,,,False,0,0,False,Primary residence,False,1,139,5445.0,623,Experian Fair Isaac,LP,1.05,103.19,0.03190000000000004,38750.00000000004,24722.50000000003,14027.500000000007,38750.00000000004,38750.00000000004,0.050000000000000044,0.03189999999999998,umbs_price,24722.49999999998,,
5023240,GA,Gwinnett    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,165000,2021-09-01,2021-10-01,2048-09-01,324,774.55,3.375,UMBS 30YR 3.0,235715,1995.5000000000027,643.5000000000027,1352,,,,False,0,0,False,Primary residence,False,1,52,1777.0,623,FICO Risk Score Classic,DU,1.05,104.61,0.04610000000000003,8250.000000000007,7606.500000000005,643.5000000000027,8250.000000000007,8250.000000000007,0.050000000000000044,0.046099999999999995,umbs_price,7606.499999999999,,
5023303,NY,Orange    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-09-03,2021-10-01,2051-09-01,360,834.99,2.75,UMBS 30YR 2.5,307531,5393.500000000001,3710.500000000001,1683,,,,False,0,0,False,Primary residence,False,1,118,3639.0,623,FICO Risk Score Classic,DU,1.05,103.19,0.03190000000000004,10250.00000000001,6539.500000000008,3710.500000000001,10250.00000000001,10250.00000000001,0.050000000000000044,0.03189999999999998,umbs_price,6539.499999999995,,
5022088,MI,Washtenaw    ,False,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,755000,2021-09-07,2021-10-01,2051-09-01,360,3124.96,2.875,UMBS 30YR 2.5,956338,16815.51000000001,13665.500000000007,3150.01,,,,False,0,0,False,Primary residence,False,1,194,6790.0,623,FICO Risk Score Classic,,1.05,103.19,0.03190000000000004,37750.00000000004,24084.50000000003,13665.500000000007,37750.00000000004,37750.00000000004,0.05000000000000005,0.03189999999999998,umbs_price,24084.49999999998,,
5022201,TX,Hays    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,165000,2021-09-11,2021-10-01,2051-09-01,360,727.42,3.375,UMBS 30YR 3.0,229199,1830.850000000003,643.5000000000027,1187.3500000000004,,,,False,0,0,False,Primary residence,False,1,52,1820.0,623,Equifax Beacon 5.0,DU,1.05,104.61,0.04610000000000003,8250.000000000007,7606.500000000005,643.5000000000027,8250.000000000007,8250.000000000007,0.050000000000000044,0.046099999999999995,umbs_price,7606.499999999999,,
5022474,TN,Davidson    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,105000,2021-09-14,2021-10-01,2051-09-01,360,477.42,3.625,UMBS 30YR 3.0,132861,1599.300000000002,409.5000000000018,1189.8000000000002,,,,False,0,0,False,Primary residence,False,1,34,1077.0,623,Equifax Beacon 5.0,LP,1.05,104.61,0.04610000000000003,5250.000000000005,4840.500000000003,409.5000000000018,5250.000000000005,5250.000000000005,0.050000000000000044,0.046099999999999995,umbs_price,4840.499999999999,,
5022121,VA,Chesapeake city   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,155000,2021-09-14,2021-10-01,2046-09-01,300,753.3,3.25,UMBS 30YR 3.0,234849,2349.5000000000027,604.5000000000027,1745,,,,False,0,0,False,Primary residence,False,1,38,1267.0,623,Experian Fair Isaac,DU,1.05,104.61,0.04610000000000003,7750.000000000007,7145.500000000005,604.5000000000027,7750.000000000007,7750.000000000007,0.050000000000000044,0.046099999999999995,umbs_price,7145.499999999999,,
5022501,GA,DeKalb    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,165000,2021-09-01,2021-10-01,2051-09-01,360,693.04,2.99,UMBS 30YR 2.5,293699,4338.500000000001,2986.500000000001,1352,,,,False,0,0,False,Primary residence,False,1,73,1278.0,624,Equifax Beacon 5.0,LP,1.05,103.19,0.03190000000000004,8250.000000000007,5263.500000000006,2986.500000000001,8250.000000000007,8250.000000000007,0.050000000000000044,0.03189999999999998,umbs_price,5263.499999999996,,
5023361,NC,Cabarrus    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,445000,2021-09-02,2021-10-01,2051-09-01,360,1931.44,3.25,UMBS 15YR 3.0,637171,1984.08,0.0,1984.08,,,,False,0,0,False,Primary residence,False,1,163,2853.0,624,Equifax Beacon 5.0,DU,1.05,105.0,0.050000000000000044,22250.00000000002,22250.00000000002,0.0,22250.00000000002,22250.00000000002,0.05000000000000004,0.05,umbs_price,22250.0,,
5021792,AR,Sebastian    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,75000,2021-09-02,2021-10-01,2051-09-01,360,310.43,2.875,UMBS 30YR 2.5,96987,3076.5499999999997,1357.5,1719.0499999999997,,,,False,0,0,False,Primary residence,False,1,24,520.0,624,Experian Fair Isaac,DU,1.05,103.19,0.03190000000000004,3750.000000000003,2392.500000000003,1357.5,3750.000000000003,3750.000000000003,0.050000000000000044,0.03189999999999998,umbs_price,2392.499999999998,,
5022738,CA,San Bernardino   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home purchase,1,False,False,355000,2021-09-04,2021-10-01,2051-09-01,360,1445.95,2.75,UMBS 30YR 2.5,394445,9419.0,6425.5,2993.5,,,,False,0,0,False,Second residence,False,1,250,7500.0,624,Equifax Beacon 5.0,LP,1.05,103.19,0.03190000000000004,17750.000000000015,11324.500000000015,6425.5,17750.000000000015,17750.000000000015,0.050000000000000044,0.03189999999999998,umbs_price,11324.499999999993,,
5021705,CA,Santa Clara   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,545000,2021-09-07,2021-10-01,2036-09-01,180,3532.3300000000004,2.125,UMBS 30YR 1.5,1123944,41962.50000000001,41147.50000000001,815,,,,False,0,0,False,Primary residence,False,1,201,6365.0,624,FICO Risk Score Classic,DU,1.05,97.45,-0.025499999999999967,27250.000000000025,-13897.499999999982,41147.50000000001,27250.000000000025,27250.000000000025,0.050000000000000044,-0.02549999999999997,umbs_price,-13897.499999999984,,
5021745,FL,Miami-Dade,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,295000,2021-09-11,2021-10-01,2051-09-01,360,1221.01,2.875,UMBS 30YR 2.5,505137,7084.130000000002,5339.500000000002,1744.63,,,,False,0,0,False,Primary residence,False,1,107,3032.0,624,Equifax Beacon 5.0,LP,1.05,103.19,0.03190000000000004,14750.000000000013,9410.500000000011,5339.500000000002,14750.000000000013,14750.000000000013,0.050000000000000044,0.03189999999999998,umbs_price,9410.499999999993,,
5022330,NY,Westchester    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Home improvement,1,False,False,505000,2021-09-17,2021-11-01,2036-10-01,180,3419.21,2.75,UMBS 30YR 2.5,1439567,11841.500000000002,9140.500000000002,2701,,,,False,0,0,False,Primary residence,False,1,232,6187.0,624,Equifax Beacon 5.0,DU,1.05,103.19,0.03190000000000004,25250.000000000022,16109.50000000002,9140.500000000002,25250.000000000022,25250.000000000022,0.050000000000000044,0.03189999999999998,umbs_price,16109.499999999989,,
5022811,MI,Macomb    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,265000,2021-09-17,2021-11-01,2051-10-01,360,1113.05,2.99,UMBS 30YR 2.5,353334,6867.0,4796.5,2070.5,,,,False,0,0,False,Primary residence,False,1,130,4225.0,624,Experian Fair Isaac,DU,1.05,103.19,0.03190000000000004,13250.000000000011,8453.500000000011,4796.5,13250.000000000011,13250.000000000011,0.050000000000000044,0.03189999999999998,umbs_price,8453.499999999995,,
5021733,PA,Monroe    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,205000,2021-08-30,2021-10-01,2048-09-01,324,895.06,2.75,UMBS 30YR 2.5,256250,5922.500000000001,3710.500000000001,2212,,,,False,0,0,False,Primary residence,False,1,80,1734.0,625,Experian Fair Isaac,DU,1.05,103.19,0.03190000000000004,10250.00000000001,6539.500000000008,3710.500000000001,10250.00000000001,10250.00000000001,0.050000000000000044,0.03189999999999998,umbs_price,6539.499999999995,,
5021841,VA,Staunton city   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,85000,2021-09-03,2021-10-01,2036-09-01,180,575.51,2.75,UMBS 30YR 2.5,166211,3147.11,1538.5000000000005,1608.6099999999997,,,,False,0,0,False,Primary residence,False,1,44,1724.0,625,FICO Risk Score Classic,LP,1.05,103.19,0.03190000000000004,4250.000000000004,2711.500000000003,1538.5000000000005,4250.000000000004,4250.000000000004,0.050000000000000044,0.03189999999999998,umbs_price,2711.499999999998,,
5022021,MA,Plymouth    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,335000,2021-09-04,2021-10-01,2036-09-01,180,2190.4300000000003,2.25,UMBS 30YR 2.0,570893,18535.000000000044,17152.000000000044,1383,,,,False,0,0,False,Primary residence,False,1,249,6848.0,625,Equifax Beacon 5.0,LP,1.05,99.88,-0.0012000000000000899,16750.000000000015,-402.0000000000301,17152.000000000044,16750.000000000015,16750.000000000015,0.050000000000000044,-0.0012000000000000454,umbs_price,-402.00000000001523,,
5022231,VA,Alexandria city   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,375000,2021-09-06,2021-10-01,2033-09-01,144,2924.7700000000004,1.99,UMBS 30YR 1.5,852855,30160.40000000001,28312.500000000007,1847.8999999999996,,,,False,0,0,False,Primary residence,False,1,138,4255.0,625,Experian Fair Isaac,DU,1.05,97.45,-0.025499999999999967,18750.00000000002,-9562.499999999987,28312.500000000007,18750.000000000022,18750.000000000022,0.05000000000000006,-0.02549999999999997,umbs_price,-9562.499999999989,,
5022353,NY,Kings    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,265000,2021-09-16,2021-11-01,2051-10-01,360,1186.51,3.5,UMBS 30YR 3.0,550021,3257.5000000000036,1033.5000000000036,2224,,,,False,0,0,False,Investment property,False,1,160,4134.0,625,Experian Fair Isaac,LP,1.05,104.61,0.04610000000000003,13250.000000000011,12216.500000000007,1033.5000000000036,13250.000000000011,13250.000000000011,0.050000000000000044,0.046099999999999995,umbs_price,12216.499999999998,,
5022892,MD,Baltimore    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,275000,2021-08-14,2021-09-01,2051-08-01,360,1174.98,3.125,UMBS 30YR 2.5,343750,6924.500000000002,4977.500000000002,1947,,,,False,0,0,False,Primary residence,False,1,68,2210.0,626,Equifax Beacon 5.0,DU,1.05,103.19,0.03190000000000004,13750.000000000013,8772.500000000011,4977.500000000002,13750.000000000013,13750.000000000013,0.050000000000000044,0.03189999999999998,umbs_price,8772.499999999995,,
5023167,TX,Harris    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,195000,2021-09-02,2021-10-01,2051-09-01,360,886.63,3.625,UMBS 30YR 3.0,260000,3471.1000000000035,760.5000000000036,2710.6,,,,False,0,0,False,Primary residence,False,1,59,1770.0,626,Experian Fair Isaac,DU,1.05,104.61,0.04610000000000003,9750.00000000001,8989.500000000005,760.5000000000036,9750.00000000001,9750.00000000001,0.050000000000000044,0.046099999999999995,umbs_price,8989.499999999998,,
5023479,UT,Juab    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Cash-out refinance,1,False,False,185000,2021-09-04,2021-10-01,2036-09-01,180,1241.76,2.625,UMBS 30YR 2.0,449575,11294.000000000025,9472.000000000025,1822,,,,False,0,0,False,Primary residence,False,1,71,2308.0,626,Equifax Beacon 5.0,DU,1.05,99.88,-0.0012000000000000899,9250.00000000001,-222.00000000001663,9472.000000000025,9250.00000000001,9250.00000000001,0.05000000000000005,-0.0012000000000000454,umbs_price,-222.0000000000084,,
5022398,TX,Fort Bend   ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,215000,2021-09-04,2021-10-01,2031-09-01,120,1963.21,1.875,UMBS 30YR 1.5,390910,16589.99,16232.500000000002,357.4899999999998,,,,False,0,0,False,Primary residence,False,1,151,4530.0,626,Equifax Beacon 5.0,DU,1.05,97.45,-0.025499999999999967,10750.00000000001,-5482.499999999993,16232.500000000002,10750.00000000001,10750.00000000001,0.050000000000000044,-0.02549999999999997,umbs_price,-5482.499999999994,,
5023149,CA,Orange    ,True,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Conventional,Refinancing,1,False,False,645000,2021-09-10,2021-10-01,2036-09-01,180,4367.110000000001,2.75,UMBS 30YR 2.5,1372341,12513.510000000004,11674.500000000004,839.01,,,,False,0,0,False,Investment property,False,1,390,12350.0,626,Experian Fair Isaac,DU,1.05,103.19,0.03190000000000004,32250.00000000003,20575.500000000025,11674.500000000004,32250.00000000003,32250.00000000003,0.050000000000000044,0.03189999999999998,umbs_price,20575.499999999985,,
