loan_id,loan_amount,first_payment_date,principal_interest_payment,interest_rate,loan_term,next_payment_due_date,payment_periods_made,current_balance
5021573,425000,2021-10-01,1763.3,0.02875,360,2021-10-01,0,425000.0
5021576,115000,2021-10-01,918.6,0.02375,144,2021-10-01,0,115000.0
5021581,105000,2021-10-01,442.12,0.029900000000000003,360,2021-10-01,0,105000.0
5021586,335000,2021-10-01,1410.57,0.029900000000000003,360,2021-10-01,0,335000.0
5021591,545000,2021-10-01,2371.88,0.0325,360,2021-10-01,0,545000.0
5021592,95000,2021-11-01,363.14,0.0225,360,2021-11-01,0,95000.0
5021597,255000,2021-10-01,1109.78,0.0325,360,2021-10-01,0,255000.0
5021598,135000,2021-11-01,596.83,0.03375,360,2021-11-01,0,135000.0
5021603,305000,2021-10-01,1998.01,0.0225,180,2021-10-01,0,305000.0
5021606,205000,2021-10-01,906.3,0.03375,360,2021-10-01,0,205000.0
5021610,215000,2021-10-01,935.7,0.0325,360,2021-10-01,0,215000.0
5021612,205000,2021-11-01,958.86,0.02875,300,2021-11-01,0,205000.0
5021613,415000,2021-11-01,1747.42,0.029900000000000003,360,2021-11-01,0,415000.0
5021617,315000,2021-10-01,2100.39,0.025,180,2021-10-01,0,315000.0
5021621,365000,2021-10-01,2476.97,0.0275,180,2021-10-01,0,365000.0
5021625,215000,2021-10-01,1395.96,0.02125,180,2021-10-01,0,215000.0
5021630,145000,2021-10-01,641.04,0.03375,360,2021-10-01,0,145000.0
5021631,235000,2021-10-01,1288.65,0.02875,240,2021-10-01,0,235000.0
5021636,205000,2021-10-01,1331.03,0.02125,180,2021-10-01,0,205000.0
5021638,185000,2021-10-01,817.88,0.03375,360,2021-10-01,0,185000.0
5021642,175000,2021-10-01,948.8,0.0275,240,2021-10-01,0,175000.0
5021647,395000,2021-11-01,1638.83,0.02875,360,2021-11-01,0,395000.0
5021651,275000,2021-11-01,1122.67,0.0275,360,2021-11-01,0,275000.0
5021652,295000,2021-10-01,1932.51,0.0225,180,2021-10-01,0,295000.0
5021657,315000,2021-10-01,1285.96,0.0275,360,2021-10-01,0,315000.0
5021662,275000,2021-10-01,1508.0,0.02875,240,2021-10-01,0,275000.0
5021663,315000,2021-10-01,1727.34,0.02875,240,2021-10-01,0,315000.0
5021664,255000,2021-10-01,1132.54,0.02875,324,2021-10-01,0,255000.0
5021665,525000,2021-10-01,2196.47,0.0294,360,2021-10-01,0,525000.0
5021667,545000,2021-10-01,2294.81,0.029900000000000003,360,2021-10-01,0,545000.0
5021670,495000,2021-10-01,3183.09,0.0199,180,2021-10-01,0,495000.0
5021673,1005000,2021-10-01,4231.71,0.029900000000000003,360,2021-10-01,0,1005000.0
5021675,305000,2021-10-01,1998.01,0.0225,180,2021-10-01,0,305000.0
5021676,135000,2021-10-01,551.13,0.0275,360,2021-10-01,0,135000.0
5021679,545000,2021-10-01,2409.43,0.03375,360,2021-10-01,0,545000.0
5021684,305000,2021-10-01,1327.38,0.0325,360,2021-10-01,0,305000.0
5021688,65000,2021-10-01,631.41,0.03125,120,2021-10-01,0,65000.0
5021693,275000,2021-10-01,1157.93,0.029900000000000003,360,2021-10-01,0,275000.0
5021697,245000,2021-10-01,1100.16,0.035,360,2021-10-01,0,245000.0
5021702,535000,2021-11-01,2328.36,0.0325,360,2021-11-01,0,535000.0
5021705,545000,2021-10-01,3538.58,0.02125,180,2021-10-01,0,545000.0
5021708,195000,2021-11-01,848.66,0.0325,360,2021-11-01,0,195000.0
5021709,295000,2021-10-01,1223.94,0.02875,360,2021-10-01,0,295000.0
5021713,215000,2021-10-01,905.29,0.029900000000000003,360,2021-10-01,0,215000.0
5021715,85000,2021-10-01,683.85,0.025,144,2021-10-01,0,85000.0
5021719,165000,2021-10-01,740.93,0.035,360,2021-10-01,0,165000.0
5021720,95000,2021-11-01,639.06,0.02625,180,2021-11-01,0,95000.0
5021722,545000,2021-10-01,2261.17,0.02875,360,2021-10-01,0,545000.0
5021725,205000,2021-10-01,836.9,0.0275,360,2021-10-01,0,205000.0
5021727,225000,2021-11-01,963.85,0.03125,360,2021-11-01,0,225000.0
5021731,655000,2021-10-01,2805.86,0.03125,360,2021-10-01,0,655000.0
5021733,205000,2021-10-01,897.11,0.0275,324,2021-10-01,0,205000.0
5021737,485000,2021-11-01,2012.23,0.02875,360,2021-11-01,0,485000.0
5021740,605000,2021-11-01,2547.45,0.029900000000000003,360,2021-11-01,0,605000.0
5021742,355000,2021-10-01,1520.74,0.03125,360,2021-10-01,0,355000.0
5021745,295000,2021-10-01,1223.94,0.02875,360,2021-10-01,0,295000.0
5021749,285000,2021-11-01,1220.88,0.03125,360,2021-11-01,0,285000.0
5021753,265000,2021-10-01,1436.75,0.0275,240,2021-10-01,0,265000.0
5021754,225000,2021-11-01,1246.72,0.029900000000000003,240,2021-11-01,0,225000.0
5021758,295000,2021-10-01,1242.15,0.029900000000000003,360,2021-10-01,0,295000.0
5021763,245000,2021-10-01,1343.49,0.02875,240,2021-10-01,0,245000.0
5021768,95000,2021-10-01,639.06,0.02625,180,2021-10-01,0,95000.0
5021772,355000,2021-10-01,1472.87,0.02875,360,2021-10-01,0,355000.0
5021777,255000,2021-10-01,1073.72,0.029900000000000003,360,2021-10-01,0,255000.0
5021782,465000,2021-10-01,1945.45,0.0294,360,2021-10-01,0,465000.0
5021787,435000,2021-10-01,1775.85,0.0275,360,2021-10-01,0,435000.0
5021792,75000,2021-10-01,311.17,0.02875,360,2021-10-01,0,75000.0
5021796,95000,2021-10-01,420.0,0.03375,360,2021-10-01,0,95000.0
5021800,105000,2021-10-01,464.21,0.03375,360,2021-10-01,0,105000.0
5021803,115000,2021-10-01,630.62,0.02875,240,2021-10-01,0,115000.0
5021804,265000,2021-10-01,1171.56,0.03375,360,2021-10-01,0,265000.0
5021808,785000,2021-10-01,3204.7,0.0275,360,2021-10-01,0,785000.0
5021812,495000,2021-11-01,2053.72,0.02875,360,2021-11-01,0,495000.0
5021815,215000,2021-10-01,1977.33,0.0199,120,2021-10-01,0,215000.0
5021819,455000,2021-10-01,1887.77,0.02875,360,2021-10-01,0,455000.0
5021823,155000,2021-10-01,685.25,0.03375,360,2021-10-01,0,155000.0
5021827,515000,2021-11-01,2068.51,0.02625,360,2021-11-01,0,515000.0
5021832,105000,2021-10-01,439.3,0.0294,360,2021-10-01,0,105000.0
5021835,245000,2021-10-01,1117.33,0.03625,360,2021-10-01,0,245000.0
5021836,55000,2021-11-01,243.16,0.03375,360,2021-11-01,0,55000.0
5021841,85000,2021-10-01,576.83,0.0275,180,2021-10-01,0,85000.0
5021844,175000,2021-10-01,736.87,0.029900000000000003,360,2021-10-01,0,175000.0
5021847,245000,2021-10-01,1031.61,0.029900000000000003,360,2021-10-01,0,245000.0
5021848,235000,2021-10-01,1006.69,0.03125,360,2021-10-01,0,235000.0
5021852,225000,2021-11-01,918.55,0.0275,360,2021-11-01,0,225000.0
5021853,125000,2021-10-01,878.34,0.0325,180,2021-10-01,0,125000.0
5021854,175000,2021-10-01,736.87,0.029900000000000003,360,2021-10-01,0,175000.0
5021857,405000,2021-10-01,2604.35,0.0199,180,2021-10-01,0,405000.0
5021862,345000,2021-11-01,1525.24,0.03375,360,2021-11-01,0,345000.0
5021866,125000,2021-11-01,518.62,0.02875,360,2021-11-01,0,125000.0
5021871,295000,2021-11-01,1204.32,0.0275,360,2021-11-01,0,295000.0
5021874,345000,2021-11-01,1408.44,0.0275,360,2021-11-01,0,345000.0
5021879,255000,2021-11-01,1215.94,0.039900000000000005,360,2021-11-01,0,255000.0
5021881,515000,2021-10-01,2697.75,0.02375,240,2021-10-01,0,515000.0
5021882,225000,2021-10-01,1010.36,0.035,360,2021-10-01,0,225000.0
5021886,305000,2021-10-01,2015.81,0.02375,180,2021-10-01,0,305000.0
5021887,445000,2021-10-01,1873.74,0.029900000000000003,360,2021-10-01,0,445000.0
5021888,135000,2021-10-01,916.14,0.0275,180,2021-10-01,0,135000.0
5021891,295000,2021-10-01,1949.72,0.02375,180,2021-10-01,0,295000.0
5021894,205000,2021-10-01,1342.93,0.0225,180,2021-10-01,0,205000.0
5021899,115000,2021-11-01,516.41,0.035,360,2021-11-01,0,115000.0
5021902,105000,2021-11-01,471.5,0.035,360,2021-11-01,0,105000.0
5021907,185000,2021-10-01,799.06,0.0319,360,2021-10-01,0,185000.0
5021910,195000,2021-10-01,821.08,0.029900000000000003,360,2021-10-01,0,195000.0
5021912,95000,2021-10-01,420.0,0.03375,360,2021-10-01,0,95000.0
5021915,795000,2021-11-01,3059.18,0.023,360,2021-11-01,0,795000.0
5021920,425000,2021-11-01,2808.92,0.02375,180,2021-11-01,0,425000.0
5021921,505000,2021-10-01,2095.21,0.02875,360,2021-10-01,0,505000.0
5021923,65000,2021-10-01,291.88,0.035,360,2021-10-01,0,65000.0
5021925,825000,2021-10-01,3820.71,0.0375,360,2021-10-01,0,825000.0
5021929,105000,2021-10-01,456.97,0.0325,360,2021-10-01,0,105000.0
5021930,165000,2021-10-01,904.8,0.02875,240,2021-10-01,0,165000.0
5021933,415000,2021-11-01,1806.11,0.0325,360,2021-11-01,0,415000.0
5021938,225000,2021-10-01,947.4,0.029900000000000003,360,2021-10-01,0,225000.0
5021939,395000,2021-10-01,2564.66,0.02125,180,2021-10-01,0,395000.0
5021944,285000,2021-11-01,1200.04,0.029900000000000003,360,2021-11-01,0,285000.0
5021946,365000,2021-09-01,1620.96,0.0325,348,2021-09-01,0,365000.0
5021949,315000,2021-11-01,1436.57,0.03625,360,2021-11-01,0,315000.0
5021950,335000,2021-10-01,1504.3,0.035,360,2021-10-01,0,335000.0
5021951,145000,2021-10-01,984.01,0.0275,180,2021-10-01,0,145000.0
5021955,125000,2021-10-01,544.01,0.0325,360,2021-10-01,0,125000.0
5021957,315000,2021-10-01,1727.34,0.02875,240,2021-10-01,0,315000.0
5021961,505000,2021-10-01,2126.38,0.029900000000000003,360,2021-10-01,0,505000.0
5021965,175000,2021-10-01,1387.85,0.0225,144,2021-10-01,0,175000.0
5021970,275000,2021-10-01,1474.04,0.02625,240,2021-10-01,0,275000.0
5021973,155000,2021-11-01,1042.67,0.02625,180,2021-11-01,0,155000.0
5021974,175000,2021-10-01,1207.68,0.029900000000000003,180,2021-10-01,0,175000.0
5021979,135000,2021-10-01,578.31,0.03125,360,2021-10-01,0,135000.0
5021983,425000,2021-10-01,1763.3,0.02875,360,2021-10-01,0,425000.0
5021987,525000,2021-10-01,2284.84,0.0325,360,2021-10-01,0,525000.0
5021990,195000,2021-10-01,1209.56,0.02875,204,2021-10-01,0,195000.0
5021994,375000,2021-10-01,2635.01,0.0325,180,2021-10-01,0,375000.0
5021998,225000,2021-10-01,933.51,0.02875,360,2021-10-01,0,225000.0
5022001,205000,2021-10-01,1391.18,0.0275,180,2021-10-01,0,205000.0
5022003,115000,2021-10-01,766.81,0.025,180,2021-10-01,0,115000.0
5022007,325000,2021-10-01,1702.47,0.02375,240,2021-10-01,0,325000.0
5022011,605000,2021-10-01,2450.68,0.0269,360,2021-10-01,0,605000.0
5022012,295000,2021-10-01,1617.67,0.02875,240,2021-10-01,0,295000.0
5022015,305000,2021-10-01,1125.82,0.0199,360,2021-10-01,0,305000.0
5022017,105000,2021-10-01,456.97,0.0325,360,2021-10-01,0,105000.0
5022021,335000,2021-10-01,2194.54,0.0225,180,2021-10-01,0,335000.0
5022024,65000,2021-10-01,287.37,0.03375,360,2021-10-01,0,65000.0
5022028,375000,2021-10-01,1579.0,0.029900000000000003,360,2021-10-01,0,375000.0
5022033,185000,2021-10-01,767.56,0.02875,360,2021-10-01,0,185000.0
5022038,425000,2021-10-01,2732.96,0.0199,180,2021-10-01,0,425000.0
5022040,135000,2021-10-01,615.67,0.03625,360,2021-10-01,0,135000.0
5022045,505000,2021-10-01,2095.21,0.02875,360,2021-10-01,0,505000.0
5022047,345000,2021-11-01,2341.25,0.0275,180,2021-11-01,0,345000.0
5022050,665000,2021-11-01,2759.04,0.02875,360,2021-11-01,0,665000.0
5022054,115000,2021-10-01,477.13,0.02875,360,2021-10-01,0,115000.0
5022058,325000,2021-10-01,2205.53,0.0275,180,2021-10-01,0,325000.0
5022063,435000,2021-10-01,1893.15,0.0325,360,2021-10-01,0,435000.0
5022066,425000,2021-10-01,1789.53,0.029900000000000003,360,2021-10-01,0,425000.0
5022069,85000,2021-10-01,357.91,0.029900000000000003,360,2021-10-01,0,85000.0
5022071,85000,2021-10-01,576.83,0.0275,180,2021-10-01,0,85000.0
5022075,125000,2021-11-01,526.34,0.029900000000000003,360,2021-11-01,0,125000.0
5022079,85000,2021-10-01,375.79,0.03375,360,2021-10-01,0,85000.0
5022081,725000,2021-10-01,3205.2,0.03375,360,2021-10-01,0,725000.0
5022084,405000,2021-10-01,1762.59,0.0325,360,2021-10-01,0,405000.0
5022088,755000,2021-10-01,3132.44,0.02875,360,2021-10-01,0,755000.0
5022093,235000,2021-10-01,1288.65,0.02875,240,2021-10-01,0,235000.0
5022094,305000,2021-10-01,1306.55,0.03125,360,2021-10-01,0,305000.0
5022099,385000,2021-10-01,1597.34,0.02875,360,2021-10-01,0,385000.0
5022102,175000,2021-10-01,761.62,0.0325,360,2021-10-01,0,175000.0
5022103,615000,2021-10-01,2656.31,0.0319,360,2021-10-01,0,615000.0
5022107,255000,2021-11-01,1073.72,0.029900000000000003,360,2021-11-01,0,255000.0
5022112,445000,2021-10-01,1936.67,0.0325,360,2021-10-01,0,445000.0
5022113,65000,2021-10-01,278.98,0.031400000000000004,360,2021-10-01,0,65000.0
5022114,255000,2021-10-01,1073.72,0.029900000000000003,360,2021-10-01,0,255000.0
5022118,425000,2021-10-01,1735.03,0.0275,360,2021-10-01,0,425000.0
5022121,155000,2021-10-01,755.35,0.0325,300,2021-10-01,0,155000.0
5022122,95000,2021-11-01,520.95,0.02875,240,2021-11-01,0,95000.0
5022125,165000,2021-10-01,1080.89,0.0225,180,2021-10-01,0,165000.0
5022130,235000,2021-10-01,975.0,0.02875,360,2021-10-01,0,235000.0
5022131,235000,2021-10-01,959.37,0.0275,360,2021-10-01,0,235000.0
5022133,275000,2021-10-01,1833.68,0.025,180,2021-10-01,0,275000.0
5022138,235000,2021-10-01,928.54,0.025,360,2021-10-01,0,235000.0
5022141,625000,2021-11-01,2720.04,0.0325,360,2021-11-01,0,625000.0
5022142,445000,2021-10-01,1873.74,0.029900000000000003,360,2021-10-01,0,445000.0
5022145,145000,2021-10-01,591.95,0.0275,360,2021-10-01,0,145000.0
5022146,315000,2021-10-01,1326.36,0.029900000000000003,360,2021-10-01,0,315000.0
5022151,185000,2021-10-01,843.7,0.03625,360,2021-10-01,0,185000.0
5022154,545000,2021-10-01,2083.25,0.0225,360,2021-10-01,0,545000.0
5022157,525000,2021-10-01,2126.62,0.0269,360,2021-10-01,0,525000.0
5022161,335000,2021-10-01,2273.39,0.0275,180,2021-10-01,0,335000.0
5022165,235000,2021-10-01,1511.17,0.0199,180,2021-10-01,0,235000.0
5022166,105000,2021-10-01,456.97,0.0325,360,2021-10-01,0,105000.0
5022171,245000,2021-10-01,1083.14,0.03375,360,2021-10-01,0,245000.0
5022176,495000,2021-10-01,2154.28,0.0325,360,2021-10-01,0,495000.0
5022181,135000,2021-10-01,931.64,0.029900000000000003,180,2021-10-01,0,135000.0
5022185,295000,2021-11-01,1154.14,0.024249999999999997,360,2021-11-01,0,295000.0
5022189,185000,2021-10-01,805.14,0.0325,360,2021-10-01,0,185000.0
5022190,235000,2021-10-01,959.37,0.0275,360,2021-10-01,0,235000.0
5022195,395000,2021-11-01,1638.83,0.02875,360,2021-11-01,0,395000.0
5022196,225000,2021-10-01,2082.93,0.02125,120,2021-10-01,0,225000.0
5022199,235000,2021-11-01,1511.17,0.0199,180,2021-11-01,0,235000.0
5022201,165000,2021-10-01,729.46,0.03375,360,2021-10-01,0,165000.0
5022206,545000,2021-10-01,2294.81,0.029900000000000003,360,2021-10-01,0,545000.0
5022209,305000,2021-10-01,1998.01,0.0225,180,2021-10-01,0,305000.0
5022211,405000,2021-10-01,2653.1,0.0225,180,2021-10-01,0,405000.0
5022212,105000,2021-10-01,581.81,0.029900000000000003,240,2021-10-01,0,105000.0
5022217,235000,2021-10-01,1015.02,0.0319,360,2021-10-01,0,235000.0
5022218,205000,2021-10-01,1391.18,0.0275,180,2021-10-01,0,205000.0
5022222,235000,2021-10-01,1752.39,0.02375,156,2021-10-01,0,235000.0
5022226,105000,2021-10-01,989.84,0.025,120,2021-10-01,0,105000.0
5022229,155000,2021-10-01,643.09,0.02875,360,2021-10-01,0,155000.0
5022231,375000,2021-10-01,2929.62,0.0199,144,2021-10-01,0,375000.0
5022234,315000,2021-10-01,1326.36,0.029900000000000003,360,2021-10-01,0,315000.0
5022235,105000,2021-10-01,972.04,0.02125,120,2021-10-01,0,105000.0
5022238,65000,2021-10-01,301.03,0.0375,360,2021-10-01,0,65000.0
5022239,245000,2021-10-01,1100.16,0.035,360,2021-10-01,0,245000.0
5022243,265000,2021-10-01,1064.38,0.02625,360,2021-10-01,0,265000.0
5022244,335000,2021-10-01,1410.57,0.029900000000000003,360,2021-10-01,0,335000.0
5022246,285000,2021-10-01,2029.04,0.02625,168,2021-10-01,0,285000.0
5022251,205000,2021-10-01,1111.45,0.0275,240,2021-10-01,0,205000.0
5022256,345000,2021-10-01,1490.13,0.0319,360,2021-10-01,0,345000.0
5022259,105000,2021-10-01,442.12,0.029900000000000003,360,2021-10-01,0,105000.0
5022264,515000,2021-10-01,2792.16,0.0275,240,2021-10-01,0,515000.0
5022269,175000,2021-10-01,761.62,0.0325,360,2021-10-01,0,175000.0
5022273,395000,2021-10-01,1773.73,0.035,360,2021-10-01,0,395000.0
5022275,235000,2021-10-01,1038.93,0.03375,360,2021-10-01,0,235000.0
5022277,185000,2021-10-01,799.06,0.0319,360,2021-10-01,0,185000.0
5022281,305000,2021-11-01,1394.85,0.03125,324,2021-11-01,0,305000.0
5022283,385000,2021-10-01,1675.55,0.0325,360,2021-10-01,0,385000.0
5022285,225000,2021-10-01,971.83,0.0319,360,2021-10-01,0,225000.0
5022288,355000,2021-10-01,1438.0,0.0269,360,2021-10-01,0,355000.0
5022293,505000,2021-11-01,2267.68,0.035,360,2021-11-01,0,505000.0
5022295,595000,2021-10-01,2569.93,0.0319,360,2021-10-01,0,595000.0
5022296,445000,2021-10-01,1936.67,0.0325,360,2021-10-01,0,445000.0
5022297,375000,2021-11-01,1579.0,0.029900000000000003,360,2021-11-01,0,375000.0
5022301,375000,2021-11-01,1964.38,0.02375,240,2021-11-01,0,375000.0
5022304,205000,2021-10-01,863.19,0.029900000000000003,360,2021-10-01,0,205000.0
5022307,185000,2021-11-01,869.94,0.03875,360,2021-11-01,0,185000.0
5022308,145000,2021-10-01,641.04,0.03375,360,2021-10-01,0,145000.0
5022311,245000,2021-10-01,1016.49,0.02875,360,2021-10-01,0,245000.0
5022315,205000,2021-10-01,850.53,0.02875,360,2021-10-01,0,205000.0
5022316,125000,2021-11-01,526.34,0.029900000000000003,360,2021-11-01,0,125000.0
5022318,295000,2021-10-01,1242.15,0.029900000000000003,360,2021-10-01,0,295000.0
5022323,175000,2021-10-01,761.62,0.0325,360,2021-10-01,0,175000.0
5022327,755000,2021-11-01,3179.05,0.029900000000000003,360,2021-11-01,0,755000.0
5022330,505000,2021-11-01,3427.04,0.0275,180,2021-11-01,0,505000.0
5022332,105000,2021-11-01,977.95,0.0225,120,2021-11-01,0,105000.0
5022334,385000,2021-10-01,1728.83,0.035,360,2021-10-01,0,385000.0
5022335,155000,2021-10-01,643.09,0.02875,360,2021-10-01,0,155000.0
5022337,115000,2021-11-01,469.48,0.0275,360,2021-11-01,0,115000.0
5022340,175000,2021-09-01,714.43,0.0275,360,2021-10-01,1,174686.61166666666
5022342,485000,2021-10-01,2570.03,0.025,240,2021-10-01,0,485000.0
5022347,545000,2021-10-01,2280.15,0.0294,360,2021-10-01,0,545000.0
5022349,115000,2021-11-01,481.14,0.0294,360,2021-11-01,0,115000.0
5022352,75000,2021-10-01,315.8,0.029900000000000003,360,2021-10-01,0,75000.0
5022353,265000,2021-11-01,1189.97,0.035,360,2021-11-01,0,265000.0
5022355,545000,2021-10-01,2261.17,0.02875,360,2021-10-01,0,545000.0
5022357,165000,2021-10-01,1119.73,0.0275,180,2021-10-01,0,165000.0
5022362,295000,2021-10-01,1283.86,0.0325,360,2021-10-01,0,295000.0
5022363,495000,2021-10-01,2020.8,0.0275,360,2021-10-01,0,495000.0
5022368,165000,2021-10-01,1090.52,0.02375,180,2021-10-01,0,165000.0
5022372,325000,2021-10-01,1305.37,0.02625,360,2021-11-01,1,324405.5675
5022374,205000,2021-10-01,913.69,0.0344,360,2021-10-01,0,205000.0
5022379,195000,2021-10-01,809.05,0.02875,360,2021-10-01,0,195000.0
5022383,145000,2021-10-01,831.66,0.03375,240,2021-10-01,0,145000.0
5022388,215000,2021-10-01,1471.86,0.02875,180,2021-10-01,0,215000.0
5022391,805000,2021-10-01,3448.43,0.03125,360,2021-10-01,0,805000.0
5022396,205000,2021-10-01,920.55,0.035,360,2021-10-01,0,205000.0
5022398,215000,2021-10-01,1966.28,0.01875,120,2021-10-01,0,215000.0
5022402,255000,2021-10-01,1057.98,0.02875,360,2021-10-01,0,255000.0
5022405,95000,2021-10-01,520.95,0.02875,240,2021-10-01,0,95000.0
