loan_id,closing_date,file_in_audit,file_audit_complete,file_sent_to_custodian,file_at_custodian,audit_tat_days,custodian_tat_days
5031358,2021-08-19,,,2021-08-30,2021-09-01,,
5027081,2021-08-19,,,2021-08-30,2021-09-01,,
5029205,2021-08-20,2021-08-23,2021-08-27,2021-08-30,2021-09-01,7,5
5035414,2021-08-20,2021-08-23,2021-08-24,2021-08-26,2021-08-30,4,6
5035888,2021-08-20,2021-08-23,2021-08-26,2021-08-27,2021-08-30,6,4
5028763,2021-08-20,2021-08-24,2021-08-27,,,7,
5029833,2021-08-20,2021-08-24,2021-08-30,2021-08-31,2021-09-02,10,3
5029802,2021-08-20,2021-08-25,2021-08-30,2021-08-30,2021-09-01,10,2
5033179,2021-08-20,2021-08-25,2021-08-27,2021-08-30,2021-09-01,7,5
5028018,2021-08-20,,,2021-08-25,2021-08-27,,
5022229,2021-08-21,2021-08-23,2021-08-25,2021-08-26,2021-08-30,4,5
5033371,2021-08-21,2021-08-23,2021-08-25,2021-08-27,2021-08-30,4,5
5023387,2021-08-21,2021-08-23,2021-08-27,2021-08-30,2021-09-01,6,5
5026325,2021-08-21,2021-08-23,2021-08-31,2021-09-02,2021-09-06,10,6
5035918,2021-08-21,2021-08-24,2021-08-26,2021-08-27,2021-08-30,5,4
5033563,2021-08-21,2021-08-24,2021-08-30,2021-08-31,2021-09-02,9,3
5028299,2021-08-21,2021-08-25,2021-08-27,2021-08-30,2021-09-01,6,5
5029004,2021-08-21,2021-08-25,2021-08-27,2021-08-30,2021-09-01,6,5
5030783,2021-08-21,2021-08-25,2021-08-27,2021-08-30,2021-09-01,6,5
5027260,2021-08-21,2021-08-26,2021-08-30,2021-08-30,2021-09-01,9,2
5031347,2021-08-21,2021-08-26,2021-08-30,2021-08-31,2021-09-02,9,3
5034319,2021-08-21,2021-08-27,2021-08-31,2021-09-01,2021-09-03,10,3
5021369,2021-08-21,2021-08-30,2021-08-31,2021-09-01,2021-09-03,10,3
5030682,2021-08-23,2021-08-25,2021-08-27,2021-08-30,2021-09-01,4,5
5026446,2021-08-23,2021-08-25,2021-08-27,2021-08-30,2021-09-01,4,5
5029816,2021-08-23,2021-08-25,2021-08-27,2021-08-30,2021-09-01,4,5
5023427,2021-08-23,2021-08-25,2021-08-27,2021-08-30,2021-09-01,4,5
5026316,2021-08-23,2021-08-25,2021-08-31,2021-09-01,2021-09-03,8,3
5031363,2021-08-23,2021-08-25,2021-08-27,2021-08-30,2021-09-01,4,5
5037618,2021-08-23,2021-08-25,2021-08-27,2021-08-30,2021-09-01,4,5
5037434,2021-08-23,2021-08-25,2021-08-27,2021-08-30,2021-09-01,4,5
5033410,2021-08-23,2021-08-26,2021-08-30,2021-08-30,2021-09-01,7,2
5034923,2021-08-23,2021-08-26,2021-08-30,2021-08-30,2021-09-01,7,2
5031815,2021-08-23,2021-08-26,2021-09-02,2021-09-03,2021-09-06,10,4
5021576,2021-08-23,2021-08-27,2021-08-30,2021-08-30,2021-09-01,7,2
5032570,2021-08-23,2021-08-27,2021-08-30,2021-08-31,2021-09-02,7,3
5032834,2021-08-23,2021-08-27,2021-08-31,2021-09-02,2021-09-06,8,6
5037351,2021-08-23,2021-08-27,2021-08-30,2021-08-30,2021-09-01,7,2
5026124,2021-08-23,2021-08-30,2021-08-30,2021-08-31,2021-09-02,7,3
5028975,2021-08-23,2021-08-30,2021-08-30,2021-08-31,2021-09-02,7,3
5023515,2021-08-23,2021-08-30,2021-09-01,2021-09-03,2021-09-06,9,5
5033983,2021-08-23,2021-08-30,2021-08-31,2021-09-01,2021-09-03,8,3
5031353,2021-08-23,2021-08-30,2021-08-31,2021-09-01,2021-09-03,8,3
5033259,2021-08-23,2021-08-30,2021-09-03,2021-09-06,2021-09-08,11,5
5027121,2021-08-23,2021-08-30,2021-08-30,2021-08-31,2021-09-02,7,3
5026756,2021-08-23,2021-08-30,2021-08-31,2021-09-01,2021-09-03,8,3
5037532,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5035218,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5027995,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5028344,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5027477,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5031456,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5026459,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5024361,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5032681,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5037540,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5023419,2021-08-24,2021-08-26,2021-08-30,2021-09-01,2021-09-03,6,4
5021912,2021-08-24,2021-08-26,2021-08-30,2021-08-31,2021-09-02,6,3
5021597,2021-08-24,2021-08-26,2021-08-30,2021-08-31,2021-09-02,6,3
5022521,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5027016,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5028934,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5035153,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5033918,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5033420,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5027542,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5027322,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5031883,2021-08-24,2021-08-26,2021-08-31,2021-09-01,2021-09-03,7,3
5035971,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5033114,2021-08-24,2021-08-26,2021-08-31,2021-09-02,2021-09-06,7,6
5031894,2021-08-24,2021-08-26,2021-08-30,2021-08-31,2021-09-02,6,3
5036559,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5022509,2021-08-24,2021-08-26,2021-08-31,2021-09-02,2021-09-06,7,6
5024879,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5035024,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5027264,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5023516,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5024060,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5025189,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5024086,2021-08-24,2021-08-26,2021-08-30,2021-08-30,2021-09-01,6,2
5022858,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5028912,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5033160,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5035375,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5027412,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5033546,2021-08-24,2021-08-27,2021-09-01,2021-09-02,2021-09-06,8,5
5033495,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5025283,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5028690,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5037604,2021-08-24,2021-08-27,2021-08-30,2021-08-31,2021-09-02,6,3
5027140,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5022315,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5024304,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5032196,2021-08-24,2021-08-27,2021-08-30,2021-08-31,2021-09-02,6,3
5021519,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5030857,2021-08-24,2021-08-27,2021-08-30,2021-08-31,2021-09-02,6,3
5027530,2021-08-24,2021-08-27,2021-08-30,2021-08-31,2021-09-02,6,3
5023012,2021-08-24,2021-08-27,2021-08-30,2021-08-31,2021-09-02,6,3
5031366,2021-08-24,2021-08-27,2021-08-31,2021-09-01,2021-09-03,7,3
5029339,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5036455,2021-08-24,2021-08-27,2021-09-06,2021-09-06,2021-09-08,13,2
5037328,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5025647,2021-08-24,2021-08-27,2021-08-30,2021-09-01,2021-09-03,6,4
5027302,2021-08-24,2021-08-27,2021-08-30,2021-09-01,2021-09-03,6,4
5033672,2021-08-24,2021-08-27,2021-08-30,2021-08-30,2021-09-01,6,2
5023020,2021-08-24,2021-08-27,2021-08-30,2021-08-31,2021-09-02,6,3
5029950,2021-08-24,2021-08-27,2021-08-30,2021-08-31,2021-09-02,6,3
5031372,2021-08-24,2021-08-30,2021-08-30,2021-08-31,2021-09-02,6,3
5031427,2021-08-24,2021-08-30,2021-08-30,2021-09-01,2021-09-03,6,4
5026389,2021-08-24,2021-08-30,2021-09-01,2021-09-03,2021-09-06,8,5
5022719,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5031414,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5029308,2021-08-24,2021-08-30,2021-08-31,2021-09-03,2021-09-06,7,6
5023717,2021-08-24,2021-08-30,2021-08-30,2021-08-31,2021-09-02,6,3
5034363,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5032154,2021-08-24,2021-08-30,2021-08-31,2021-09-02,2021-09-06,7,6
5032922,2021-08-24,2021-08-30,2021-08-30,2021-08-31,2021-09-02,6,3
5029259,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5029932,2021-08-24,2021-08-30,2021-09-01,2021-09-02,2021-09-06,8,5
5029019,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5027265,2021-08-24,2021-08-30,2021-09-01,2021-09-02,2021-09-06,8,5
5021758,2021-08-24,2021-08-30,2021-08-30,2021-08-31,2021-09-02,6,3
5036838,2021-08-24,2021-08-30,2021-08-30,2021-08-31,2021-09-02,6,3
5034654,2021-08-24,2021-08-30,2021-08-30,2021-08-31,2021-09-02,6,3
5034394,2021-08-24,2021-08-30,2021-08-30,2021-09-01,2021-09-03,6,4
5037636,2021-08-24,2021-08-30,2021-09-01,2021-09-02,2021-09-06,8,5
5031903,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5024340,2021-08-24,2021-08-30,2021-09-01,2021-09-06,2021-09-08,8,7
5032366,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5034002,2021-08-24,2021-08-30,2021-09-06,2021-09-06,2021-09-08,13,2
5024323,2021-08-24,2021-08-30,2021-08-30,2021-08-31,2021-09-02,6,3
5032599,2021-08-24,2021-08-30,2021-09-01,2021-09-02,2021-09-06,8,5
5025250,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5035265,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5024557,2021-08-24,2021-08-30,2021-08-30,2021-09-01,2021-09-03,6,4
5037358,2021-08-24,2021-08-30,2021-09-02,2021-09-03,2021-09-06,9,4
5025325,2021-08-24,2021-08-30,2021-09-01,2021-09-06,2021-09-08,8,7
5032654,2021-08-24,2021-08-30,2021-09-01,2021-09-02,2021-09-06,8,5
5036805,2021-08-24,2021-08-30,2021-08-30,2021-09-01,2021-09-03,6,4
5021673,2021-08-24,2021-08-30,2021-08-31,2021-09-01,2021-09-03,7,3
5024540,2021-08-24,2021-08-30,2021-09-01,2021-09-02,2021-09-06,8,5
5032365,2021-08-24,2021-08-30,2021-09-03,2021-09-06,2021-09-08,10,5
5033965,2021-08-24,2021-08-30,2021-08-30,2021-09-01,2021-09-03,6,4
5033635,2021-08-24,2021-08-30,2021-09-03,2021-09-06,2021-09-08,10,5
5021955,2021-08-24,2021-08-31,2021-09-02,2021-09-03,2021-09-06,9,4
5023370,2021-08-24,2021-08-31,2021-09-02,2021-09-03,2021-09-06,9,4
5022379,2021-08-24,2021-08-31,2021-09-02,2021-09-03,2021-09-06,9,4
5021468,2021-08-24,2021-08-31,2021-09-06,2021-09-06,2021-09-08,13,2
5025198,2021-08-24,2021-09-01,2021-09-03,2021-09-06,2021-09-08,10,5
5022596,2021-08-24,2021-09-01,2021-09-06,2021-09-07,2021-09-09,13,3
5024922,2021-08-24,2021-09-01,2021-09-06,2021-09-07,2021-09-09,13,3
5027345,2021-08-24,2021-09-02,2021-09-06,2021-09-07,2021-09-09,13,3
5023489,2021-08-24,2021-09-02,2021-09-06,2021-09-06,2021-09-08,13,2
5021496,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5031431,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5032742,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5024652,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5025931,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5032055,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5028485,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5024179,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5032163,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5027816,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5025199,2021-08-25,2021-08-27,2021-08-30,2021-08-31,2021-09-02,5,3
5024640,2021-08-25,2021-08-27,2021-08-30,2021-08-31,2021-09-02,5,3
5027328,2021-08-25,2021-08-27,2021-08-30,2021-08-31,2021-09-02,5,3
5021881,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5034602,2021-08-25,2021-08-27,2021-08-30,2021-08-31,2021-09-02,5,3
5023259,2021-08-25,2021-08-27,2021-08-31,2021-09-01,2021-09-03,6,3
5024766,2021-08-25,2021-08-27,2021-09-01,2021-09-03,2021-09-06,7,5
5032683,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5029875,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5032751,2021-08-25,2021-08-27,2021-08-31,2021-09-02,2021-09-06,6,6
5032748,2021-08-25,2021-08-27,2021-08-30,2021-08-31,2021-09-02,5,3
5026450,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5033599,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5022234,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5026187,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5027623,2021-08-25,2021-08-27,2021-09-02,2021-09-03,2021-09-06,8,4
5035692,2021-08-25,2021-08-27,2021-08-31,2021-09-02,2021-09-06,6,6
5035868,2021-08-25,2021-08-27,2021-08-30,2021-08-31,2021-09-02,5,3
5034413,2021-08-25,2021-08-27,2021-08-31,2021-09-01,2021-09-03,6,3
5022323,2021-08-25,2021-08-27,2021-08-31,2021-09-01,2021-09-03,6,3
5026454,2021-08-25,2021-08-27,2021-08-31,2021-09-01,2021-09-03,6,3
5030203,2021-08-25,2021-08-27,2021-08-30,2021-08-30,2021-09-01,5,2
5024095,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5036623,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5037620,2021-08-25,2021-08-30,2021-09-06,2021-09-06,2021-09-08,12,2
5034101,2021-08-25,2021-08-30,2021-09-02,2021-09-06,2021-09-08,8,6
5022548,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5034199,2021-08-25,2021-08-30,2021-09-02,2021-09-03,2021-09-06,8,4
5022565,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5036008,2021-08-25,2021-08-30,2021-09-01,2021-09-03,2021-09-06,7,5
5032661,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5023211,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5037456,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5021950,2021-08-25,2021-08-30,2021-08-30,2021-09-01,2021-09-03,5,4
5033151,2021-08-25,2021-08-30,2021-08-30,2021-08-31,2021-09-02,5,3
5029697,2021-08-25,2021-08-30,2021-09-02,2021-09-06,2021-09-08,8,6
5028103,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5035439,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5032480,2021-08-25,2021-08-30,2021-08-31,2021-09-02,2021-09-06,6,6
5031911,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5035954,2021-08-25,2021-08-30,2021-08-31,2021-09-02,2021-09-06,6,6
5028207,2021-08-25,2021-08-30,2021-09-06,2021-09-06,2021-09-08,12,2
5023637,2021-08-25,2021-08-30,2021-09-06,2021-09-06,2021-09-08,12,2
5026196,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5028886,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5036132,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5021480,2021-08-25,2021-08-30,2021-08-31,2021-09-02,2021-09-06,6,6
5034026,2021-08-25,2021-08-30,2021-09-02,2021-09-03,2021-09-06,8,4
5024161,2021-08-25,2021-08-30,2021-08-30,2021-08-31,2021-09-02,5,3
5032451,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5029440,2021-08-25,2021-08-30,2021-09-01,2021-09-06,2021-09-08,7,7
5031756,2021-08-25,2021-08-30,2021-08-30,2021-08-31,2021-09-02,5,3
5030901,2021-08-25,2021-08-30,2021-09-03,2021-09-06,2021-09-08,9,5
5031465,2021-08-25,2021-08-30,2021-08-30,2021-09-01,2021-09-03,5,4
5025594,2021-08-25,2021-08-30,2021-09-03,2021-09-06,2021-09-08,9,5
5025388,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5027540,2021-08-25,2021-08-30,2021-09-02,2021-09-03,2021-09-06,8,4
5029420,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5027151,2021-08-25,2021-08-30,2021-08-30,2021-08-31,2021-09-02,5,3
5029696,2021-08-25,2021-08-30,2021-09-02,2021-09-03,2021-09-06,8,4
5024808,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5032744,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5025389,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5022687,2021-08-25,2021-08-30,2021-09-01,2021-09-03,2021-09-06,7,5
5026335,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5029912,2021-08-25,2021-08-30,2021-09-01,2021-09-06,2021-09-08,7,7
5037237,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5035283,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5022879,2021-08-25,2021-08-30,2021-09-01,2021-09-03,2021-09-06,7,5
5023157,2021-08-25,2021-08-30,2021-08-30,2021-08-31,2021-09-02,5,3
5026333,2021-08-25,2021-08-30,2021-09-01,2021-09-03,2021-09-06,7,5
5023261,2021-08-25,2021-08-30,2021-09-03,2021-09-06,2021-09-08,9,5
5035662,2021-08-25,2021-08-30,2021-09-03,2021-09-06,2021-09-08,9,5
5035384,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5035162,2021-08-25,2021-08-30,2021-08-30,2021-08-31,2021-09-02,5,3
5030006,2021-08-25,2021-08-30,2021-08-31,2021-09-02,2021-09-06,6,6
5032390,2021-08-25,2021-08-30,2021-08-30,2021-08-31,2021-09-02,5,3
5035466,2021-08-25,2021-08-30,2021-08-31,2021-09-01,2021-09-03,6,3
5029385,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5025686,2021-08-25,2021-08-30,2021-08-31,2021-09-02,2021-09-06,6,6
5026345,2021-08-25,2021-08-30,2021-09-03,2021-09-06,2021-09-08,9,5
5031853,2021-08-25,2021-08-30,2021-09-06,2021-09-06,2021-09-08,12,2
5028532,2021-08-25,2021-08-30,2021-08-30,2021-09-01,2021-09-03,5,4
5021713,2021-08-25,2021-08-30,2021-09-01,2021-09-02,2021-09-06,7,5
5025756,2021-08-25,2021-08-31,2021-09-03,2021-09-06,2021-09-08,9,5
5030945,2021-08-25,2021-08-31,2021-09-02,2021-09-03,2021-09-06,8,4
5022682,2021-08-25,2021-08-31,2021-09-02,2021-09-03,2021-09-06,8,4
5023782,2021-08-25,2021-08-31,2021-09-02,2021-09-06,2021-09-08,8,6
5029472,2021-08-25,2021-08-31,2021-09-02,2021-09-03,2021-09-06,8,4
5021484,2021-08-25,2021-08-31,2021-09-02,2021-09-03,2021-09-06,8,4
5026699,2021-08-25,2021-08-31,2021-09-02,2021-09-06,2021-09-08,8,6
5029149,2021-08-25,2021-08-31,2021-09-02,2021-09-03,2021-09-06,8,4
5030082,2021-08-25,2021-08-31,2021-09-02,2021-09-06,2021-09-08,8,6
5034037,2021-08-25,2021-08-31,2021-09-06,2021-09-06,2021-09-08,12,2
5036614,2021-08-25,2021-08-31,2021-09-02,2021-09-06,2021-09-08,8,6
5024597,2021-08-25,2021-08-31,2021-09-06,2021-09-06,2021-09-08,12,2
5037384,2021-08-25,2021-08-31,2021-09-06,2021-09-06,2021-09-08,12,2
5028382,2021-08-25,2021-08-31,2021-09-02,2021-09-03,2021-09-06,8,4
5035130,2021-08-25,2021-09-01,2021-09-06,2021-09-06,2021-09-08,12,2
5033197,2021-08-25,2021-09-01,2021-09-06,2021-09-06,2021-09-08,12,2
5024413,2021-08-25,2021-09-01,2021-09-03,2021-09-06,2021-09-08,9,5
5033850,2021-08-25,2021-09-01,2021-09-03,2021-09-06,2021-09-08,9,5
5023525,2021-08-25,2021-09-02,2021-09-06,2021-09-06,2021-09-08,12,2
5036908,2021-08-25,2021-09-03,2021-09-06,2021-09-06,2021-09-08,12,2
5029025,2021-08-25,2021-09-03,2021-09-06,2021-09-08,2021-09-10,12,4
5026519,2021-08-26,2021-08-30,2021-08-30,2021-08-31,2021-09-02,4,3
5034589,2021-08-26,2021-08-30,2021-08-30,2021-08-31,2021-09-02,4,3
5037410,2021-08-26,2021-08-30,2021-08-30,2021-08-31,2021-09-02,4,3
5035275,2021-08-26,2021-08-30,2021-08-30,2021-08-31,2021-09-02,4,3
5035225,2021-08-26,2021-08-30,2021-08-30,2021-08-31,2021-09-02,4,3
