loan_id,state_code,county,derived_dwelling_category,property_value,loan_amount,ltv_ratio,ltv_tier
5021853,TX,Dallas    ,Single Family (1-4 Units):Site-Built,174557.0,125000.0,71.61,Standard Risk (<=80%)
5022235,AL,Morgan    ,Single Family (1-4 Units):Site-Built,150022.0,105000.0,69.99,Standard Risk (<=80%)
5023160,MD,Montgomery    ,Single Family (1-4 Units):Site-Built,405277.0,255000.0,62.92,Standard Risk (<=80%)
5021973,NC,Guilford    ,Single Family (1-4 Units):Site-Built,210227.0,155000.0,73.73,Standard Risk (<=80%)
5023211,WA,Snohomish    ,Single Family (1-4 Units):Site-Built,973496.0,775000.0,79.61,Standard Risk (<=80%)
5023240,GA,Gwinnett    ,Single Family (1-4 Units):Site-Built,235715.0,165000.0,70.0,Standard Risk (<=80%)
5023303,NY,Orange    ,Single Family (1-4 Units):Site-Built,307531.0,205000.0,66.66,Standard Risk (<=80%)
5022088,MI,Washtenaw    ,Single Family (1-4 Units):Site-Built,956338.0,755000.0,78.95,Standard Risk (<=80%)
5022201,TX,Hays    ,Single Family (1-4 Units):Site-Built,229199.0,165000.0,71.99,Standard Risk (<=80%)
5022474,TN,Davidson    ,Single Family (1-4 Units):Site-Built,132861.0,105000.0,79.03,Standard Risk (<=80%)
5022121,VA,Chesapeake city   ,Single Family (1-4 Units):Site-Built,234849.0,155000.0,66.0,Standard Risk (<=80%)
5022501,GA,DeKalb    ,Single Family (1-4 Units):Site-Built,293699.0,165000.0,56.18,Standard Risk (<=80%)
5023361,NC,Cabarrus    ,Single Family (1-4 Units):Site-Built,637171.0,445000.0,69.84,Standard Risk (<=80%)
5021792,AR,Sebastian    ,Single Family (1-4 Units):Site-Built,96987.0,75000.0,77.33,Standard Risk (<=80%)
5022738,CA,San Bernardino   ,Single Family (1-4 Units):Site-Built,394445.0,355000.0,90.0,High Risk (>80%)
5021705,CA,Santa Clara   ,Single Family (1-4 Units):Site-Built,1123944.0,545000.0,48.49,Standard Risk (<=80%)
5021745,FL,Miami-Dade,Single Family (1-4 Units):Site-Built,505137.0,295000.0,58.4,Standard Risk (<=80%)
5022330,NY,Westchester    ,Single Family (1-4 Units):Site-Built,1439567.0,505000.0,35.08,Standard Risk (<=80%)
5022811,MI,Macomb    ,Single Family (1-4 Units):Site-Built,353334.0,265000.0,75.0,Standard Risk (<=80%)
5021733,PA,Monroe    ,Single Family (1-4 Units):Site-Built,256250.0,205000.0,80.0,Standard Risk (<=80%)
5021841,VA,Staunton city   ,Single Family (1-4 Units):Site-Built,166211.0,85000.0,51.14,Standard Risk (<=80%)
5022021,MA,Plymouth    ,Single Family (1-4 Units):Site-Built,570893.0,335000.0,58.68,Standard Risk (<=80%)
5022231,VA,Alexandria city   ,Single Family (1-4 Units):Site-Built,852855.0,375000.0,43.97,Standard Risk (<=80%)
5022353,NY,Kings    ,Single Family (1-4 Units):Site-Built,550021.0,265000.0,48.18,Standard Risk (<=80%)
5022892,MD,Baltimore    ,Single Family (1-4 Units):Site-Built,343750.0,275000.0,80.0,Standard Risk (<=80%)
5023167,TX,Harris    ,Single Family (1-4 Units):Site-Built,260000.0,195000.0,75.0,Standard Risk (<=80%)
5023479,UT,Juab    ,Single Family (1-4 Units):Site-Built,449575.0,185000.0,41.15,Standard Risk (<=80%)
5022398,TX,Fort Bend   ,Single Family (1-4 Units):Site-Built,390910.0,215000.0,55.0,Standard Risk (<=80%)
5023149,CA,Orange    ,Single Family (1-4 Units):Site-Built,1372341.0,645000.0,47.0,Standard Risk (<=80%)
5023154,CA,Sacramento    ,Single Family (1-4 Units):Site-Built,713002.0,595000.0,83.45,High Risk (>80%)
5023489,PA,Chester    ,Single Family (1-4 Units):Site-Built,364286.0,255000.0,70.0,Standard Risk (<=80%)
5021772,CA,Santa Barbara   ,Single Family (1-4 Units):Site-Built,373685.0,355000.0,95.0,High Risk (>80%)
5021882,OK,Tulsa    ,Single Family (1-4 Units):Site-Built,264706.0,225000.0,85.0,High Risk (>80%)
5022863,CA,Santa Clara   ,Single Family (1-4 Units):Site-Built,1048598.0,725000.0,69.14,Standard Risk (<=80%)
5023519,MI,Wayne    ,Single Family (1-4 Units):Site-Built,465894.0,265000.0,56.88,Standard Risk (<=80%)
5023290,AL,Houston    ,Single Family (1-4 Units):Site-Built,310717.0,245000.0,78.85,Standard Risk (<=80%)
5021823,MD,Wicomico    ,Single Family (1-4 Units):Site-Built,203948.0,155000.0,76.0,Standard Risk (<=80%)
5022658,NJ,Bergen    ,Single Family (1-4 Units):Site-Built,659969.0,335000.0,50.76,Standard Risk (<=80%)
5022663,CA,San Bernardino   ,Single Family (1-4 Units):Site-Built,333800.0,215000.0,64.41,Standard Risk (<=80%)
5023419,MI,Kent    ,Single Family (1-4 Units):Site-Built,318182.0,175000.0,55.0,Standard Risk (<=80%)
5022912,TN,Sevier    ,Single Family (1-4 Units):Site-Built,294445.0,265000.0,90.0,High Risk (>80%)
5023076,GA,Gwinnett    ,Single Family (1-4 Units):Site-Built,693750.0,555000.0,80.0,Standard Risk (<=80%)
5023276,UT,Salt Lake   ,Single Family (1-4 Units):Site-Built,500000.0,475000.0,95.0,High Risk (>80%)
5023401,CT,Fairfield    ,Single Family (1-4 Units):Site-Built,527946.0,375000.0,71.03,Standard Risk (<=80%)
5022024,NY,Chautauqua    ,Single Family (1-4 Units):Site-Built,68429.0,65000.0,94.99,High Risk (>80%)
5022445,MA,Plymouth    ,Single Family (1-4 Units):Site-Built,476470.0,325000.0,68.21,Standard Risk (<=80%)
5022764,MN,Wright    ,Single Family (1-4 Units):Site-Built,398306.0,235000.0,59.0,Standard Risk (<=80%)
5022827,FL,Orange    ,Single Family (1-4 Units):Site-Built,276753.0,255000.0,92.14,High Risk (>80%)
5022722,MD,Howard    ,Single Family (1-4 Units):Site-Built,420006.0,325000.0,77.38,Standard Risk (<=80%)
5022824,AL,Lee    ,Single Family (1-4 Units):Site-Built,222449.0,175000.0,78.67,Standard Risk (<=80%)
5023253,AL,Madison    ,Single Family (1-4 Units):Site-Built,253624.0,175000.0,69.0,Standard Risk (<=80%)
5023370,CA,Ventura    ,Single Family (1-4 Units):Site-Built,1518303.0,365000.0,24.04,Standard Risk (<=80%)
5021673,TN,Williamson    ,Single Family (1-4 Units):Site-Built,1256250.0,1005000.0,80.0,Standard Risk (<=80%)
5021939,MA,Middlesex    ,Single Family (1-4 Units):Site-Built,963415.0,395000.0,41.0,Standard Risk (<=80%)
5022459,MA,Middlesex    ,Single Family (1-4 Units):Site-Built,1147012.0,355000.0,30.95,Standard Risk (<=80%)
5022535,SC,Spartanburg    ,Single Family (1-4 Units):Site-Built,293750.0,235000.0,80.0,Standard Risk (<=80%)
5022556,MA,Middlesex    ,Single Family (1-4 Units):Site-Built,456032.0,265000.0,58.11,Standard Risk (<=80%)
5021713,NY,Orange    ,Single Family (1-4 Units):Site-Built,420004.0,215000.0,51.19,Standard Risk (<=80%)
5021815,CA,Santa Clara   ,Single Family (1-4 Units):Site-Built,712865.0,215000.0,30.16,Standard Risk (<=80%)
5021951,NJ,Hunterdon    ,Single Family (1-4 Units):Site-Built,630435.0,145000.0,23.0,Standard Risk (<=80%)
5022001,NH,Hillsborough    ,Single Family (1-4 Units):Site-Built,343557.0,205000.0,59.67,Standard Risk (<=80%)
5022165,NY,Orange    ,Single Family (1-4 Units):Site-Built,367245.0,235000.0,63.99,Standard Risk (<=80%)
5022190,CA,San Bernardino   ,Single Family (1-4 Units):Site-Built,782030.0,235000.0,30.05,Standard Risk (<=80%)
5022591,TX,Denton    ,Single Family (1-4 Units):Site-Built,518750.0,415000.0,80.0,Standard Risk (<=80%)
5023171,FL,Indian River   ,Single Family (1-4 Units):Site-Built,450000.0,315000.0,70.0,Standard Risk (<=80%)
5022113,TX,Dallas    ,Single Family (1-4 Units):Site-Built,263372.0,65000.0,24.68,Standard Risk (<=80%)
5022318,VA,Virginia Beach city  ,Single Family (1-4 Units):Site-Built,322758.0,295000.0,91.4,High Risk (>80%)
5022596,IN,Hamilton    ,Single Family (1-4 Units):Site-Built,422876.0,315000.0,74.49,Standard Risk (<=80%)
5022597,GA,Cobb    ,Single Family (1-4 Units):Site-Built,375643.0,285000.0,75.87,Standard Risk (<=80%)
5022608,MA,Hampden    ,Single Family (1-4 Units):Site-Built,308334.0,185000.0,60.0,Standard Risk (<=80%)
5022775,TN,Williamson    ,Single Family (1-4 Units):Site-Built,521429.0,365000.0,70.0,Standard Risk (<=80%)
5022898,CA,Orange    ,Single Family (1-4 Units):Site-Built,914766.0,425000.0,46.46,Standard Risk (<=80%)
5023046,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,639049.0,145000.0,22.69,Standard Risk (<=80%)
5023114,CA,Ventura    ,Single Family (1-4 Units):Site-Built,756250.0,605000.0,80.0,Standard Risk (<=80%)
5023315,CO,Weld    ,Single Family (1-4 Units):Site-Built,579151.0,405000.0,69.93,Standard Risk (<=80%)
5023324,OH,Cuyahoga    ,Single Family (1-4 Units):Site-Built,311428.0,245000.0,78.67,Standard Risk (<=80%)
5022408,NC,New Hanover   ,Single Family (1-4 Units):Site-Built,330000.0,165000.0,50.0,Standard Risk (<=80%)
5022615,NY,Queens    ,Single Family (1-4 Units):Site-Built,658216.0,405000.0,61.53,Standard Risk (<=80%)
5023521,MO,St. Louis   ,Single Family (1-4 Units):Site-Built,554952.0,255000.0,45.95,Standard Risk (<=80%)
5023530,GA,Cherokee    ,Single Family (1-4 Units):Site-Built,231959.0,225000.0,97.0,High Risk (>80%)
5023543,IL,Cook    ,Single Family (1-4 Units):Site-Built,194445.0,175000.0,90.0,High Risk (>80%)
5023559,CA,San Bernardino   ,Single Family (1-4 Units):Site-Built,305556.0,275000.0,90.0,High Risk (>80%)
5023562,NC,Gaston    ,Single Family (1-4 Units):Site-Built,381615.0,225000.0,58.96,Standard Risk (<=80%)
5023582,MI,Ottawa    ,Single Family (1-4 Units):Site-Built,313549.0,215000.0,68.57,Standard Risk (<=80%)
5023606,GA,Clayton    ,Single Family (1-4 Units):Site-Built,324075.0,175000.0,54.0,Standard Risk (<=80%)
5023623,TX,Dallas    ,Single Family (1-4 Units):Site-Built,358690.0,265000.0,73.88,Standard Risk (<=80%)
5023629,VA,Hanover    ,Single Family (1-4 Units):Site-Built,493576.0,315000.0,63.82,Standard Risk (<=80%)
5023649,MA,Norfolk    ,Single Family (1-4 Units):Site-Built,528668.0,355000.0,67.15,Standard Risk (<=80%)
5023752,CA,Ventura    ,Single Family (1-4 Units):Site-Built,676896.0,375000.0,55.4,Standard Risk (<=80%)
5023771,CT,New Haven   ,Single Family (1-4 Units):Site-Built,425000.0,85000.0,20.0,Standard Risk (<=80%)
5023797,TN,Davidson    ,Single Family (1-4 Units):Site-Built,307143.0,215000.0,70.0,Standard Risk (<=80%)
5023800,ME,York    ,Single Family (1-4 Units):Site-Built,460000.0,345000.0,75.0,Standard Risk (<=80%)
5023812,ID,Bonneville    ,Single Family (1-4 Units):Site-Built,300000.0,135000.0,45.0,Standard Risk (<=80%)
5023840,MI,Kent    ,Single Family (1-4 Units):Site-Built,392521.0,275000.0,70.06,Standard Risk (<=80%)
5023844,CA,Contra Costa   ,Single Family (1-4 Units):Site-Built,681016.0,405000.0,59.47,Standard Risk (<=80%)
5023848,TX,Harris    ,Single Family (1-4 Units):Site-Built,255173.0,185000.0,72.5,Standard Risk (<=80%)
5023865,TX,Milam    ,Single Family (1-4 Units):Site-Built,198169.0,145000.0,73.17,Standard Risk (<=80%)
5023940,UT,Weber    ,Single Family (1-4 Units):Site-Built,365088.0,215000.0,58.89,Standard Risk (<=80%)
5023961,NE,Gage    ,Single Family (1-4 Units):Site-Built,213959.0,145000.0,67.77,Standard Risk (<=80%)
5023998,NY,Monroe    ,Single Family (1-4 Units):Site-Built,246337.0,195000.0,79.16,Standard Risk (<=80%)
5024009,MT,Valley    ,Single Family (1-4 Units):Site-Built,190230.0,125000.0,65.71,Standard Risk (<=80%)
5021398,WA,Pierce    ,Single Family (1-4 Units):Site-Built,1278706.0,735000.0,57.48,Standard Risk (<=80%)
5021433,VA,James City   ,Single Family (1-4 Units):Site-Built,381911.0,315000.0,82.48,High Risk (>80%)
5021450,KY,Fayette    ,Single Family (1-4 Units):Site-Built,756250.0,605000.0,80.0,Standard Risk (<=80%)
5021461,ME,Sagadahoc    ,Single Family (1-4 Units):Site-Built,259494.0,205000.0,79.0,Standard Risk (<=80%)
5021472,NY,Montgomery    ,Single Family (1-4 Units):Site-Built,322785.0,255000.0,79.0,Standard Risk (<=80%)
5021475,PA,Lycoming    ,Single Family (1-4 Units):Site-Built,216948.0,85000.0,39.18,Standard Risk (<=80%)
5021476,OK,Oklahoma    ,Single Family (1-4 Units):Site-Built,647059.0,385000.0,59.5,Standard Risk (<=80%)
5021494,OR,Josephine    ,Single Family (1-4 Units):Site-Built,393334.0,295000.0,75.0,Standard Risk (<=80%)
5021506,CA,Placer    ,Single Family (1-4 Units):Site-Built,543750.0,435000.0,80.0,Standard Risk (<=80%)
5021518,NV,Clark    ,Single Family (1-4 Units):Site-Built,351064.0,165000.0,47.0,Standard Risk (<=80%)
5021534,AL,Wilcox    ,Single Family (1-4 Units):Site-Built,268422.0,255000.0,95.0,High Risk (>80%)
5021537,IA,Dallas    ,Single Family (1-4 Units):Site-Built,700896.0,415000.0,59.21,Standard Risk (<=80%)
5021539,IL,Kendall    ,Single Family (1-4 Units):Site-Built,500000.0,205000.0,41.0,Standard Risk (<=80%)
5021576,NC,Wake    ,Single Family (1-4 Units):Site-Built,225491.0,115000.0,51.0,Standard Risk (<=80%)
5021597,UT,Salt Lake   ,Single Family (1-4 Units):Site-Built,369191.0,255000.0,69.07,Standard Risk (<=80%)
5021657,GA,Fulton    ,Single Family (1-4 Units):Site-Built,354690.0,315000.0,88.81,High Risk (>80%)
5021670,CA,Santa Clara   ,Single Family (1-4 Units):Site-Built,973260.0,495000.0,50.86,Standard Risk (<=80%)
5021675,GA,Forsyth    ,Single Family (1-4 Units):Site-Built,438219.0,305000.0,69.6,Standard Risk (<=80%)
5021693,NC,Lincoln    ,Single Family (1-4 Units):Site-Built,509354.0,275000.0,53.99,Standard Risk (<=80%)
5021715,WI,Ashland    ,Single Family (1-4 Units):Site-Built,144903.0,85000.0,58.66,Standard Risk (<=80%)
5021800,IN,Tippecanoe    ,Single Family (1-4 Units):Site-Built,210000.0,105000.0,50.0,Standard Risk (<=80%)
5021812,TN,Williamson    ,Single Family (1-4 Units):Site-Built,723050.0,495000.0,68.46,Standard Risk (<=80%)
5021862,MA,Middlesex    ,Single Family (1-4 Units):Site-Built,431250.0,345000.0,80.0,Standard Risk (<=80%)
5021871,CA,Sacramento    ,Single Family (1-4 Units):Site-Built,492077.0,295000.0,59.95,Standard Risk (<=80%)
5021894,ID,Ada    ,Single Family (1-4 Units):Site-Built,393701.0,205000.0,52.07,Standard Risk (<=80%)
5021907,FL,St. Johns   ,Single Family (1-4 Units):Site-Built,231250.0,185000.0,80.0,Standard Risk (<=80%)
5021921,CA,Orange    ,Single Family (1-4 Units):Site-Built,770170.0,505000.0,65.57,Standard Risk (<=80%)
5021929,IL,DuPage    ,Single Family (1-4 Units):Site-Built,129790.0,105000.0,80.9,High Risk (>80%)
5021938,NV,Clark    ,Single Family (1-4 Units):Site-Built,286990.0,225000.0,78.4,Standard Risk (<=80%)
5021990,MI,Ottawa    ,Single Family (1-4 Units):Site-Built,354546.0,195000.0,55.0,Standard Risk (<=80%)
5022040,NY,Bronx    ,Single Family (1-4 Units):Site-Built,826700.0,135000.0,16.33,Standard Risk (<=80%)
5022047,MN,Wright    ,Single Family (1-4 Units):Site-Built,699514.0,345000.0,49.32,Standard Risk (<=80%)
5022050,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,999099.0,665000.0,66.56,Standard Risk (<=80%)
5022122,OH,Knox    ,Single Family (1-4 Units):Site-Built,202128.0,95000.0,47.0,Standard Risk (<=80%)
5022141,CA,Tulare    ,Single Family (1-4 Units):Site-Built,694445.0,625000.0,90.0,High Risk (>80%)
5022196,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,1384616.0,225000.0,16.25,Standard Risk (<=80%)
5022218,FL,Polk    ,Single Family (1-4 Units):Site-Built,256250.0,205000.0,80.0,Standard Risk (<=80%)
5022238,AR,Pulaski    ,Single Family (1-4 Units):Site-Built,81250.0,65000.0,80.0,Standard Risk (<=80%)
5022243,CA,San Bernardino   ,Single Family (1-4 Units):Site-Built,489834.0,265000.0,54.1,Standard Risk (<=80%)
5022273,NJ,Middlesex    ,Single Family (1-4 Units):Site-Built,493750.0,395000.0,80.0,Standard Risk (<=80%)
5022275,AK,Matanuska-Susitna Borough   ,Single Family (1-4 Units):Site-Built,283509.0,235000.0,82.89,High Risk (>80%)
5022281,OR,Multnomah    ,Single Family (1-4 Units):Site-Built,360223.0,305000.0,84.67,High Risk (>80%)
5022293,NY,Queens    ,Single Family (1-4 Units):Site-Built,696072.0,505000.0,72.55,Standard Risk (<=80%)
5022297,WA,King    ,Single Family (1-4 Units):Site-Built,962773.0,375000.0,38.95,Standard Risk (<=80%)
5022301,MD,Anne Arundel   ,Single Family (1-4 Units):Site-Built,717018.0,375000.0,52.3,Standard Risk (<=80%)
5022307,AZ,Pima    ,Single Family (1-4 Units):Site-Built,251633.0,185000.0,73.52,Standard Risk (<=80%)
5022315,CA,Sonoma    ,Single Family (1-4 Units):Site-Built,666450.0,205000.0,30.76,Standard Risk (<=80%)
5022323,CA,El Dorado   ,Single Family (1-4 Units):Site-Built,751073.0,175000.0,23.3,Standard Risk (<=80%)
5022342,CA,Ventura    ,Single Family (1-4 Units):Site-Built,610678.0,485000.0,79.42,Standard Risk (<=80%)
5022362,CO,Larimer    ,Single Family (1-4 Units):Site-Built,424583.0,295000.0,69.48,Standard Risk (<=80%)
5022388,PA,Franklin    ,Single Family (1-4 Units):Site-Built,269525.0,215000.0,79.77,Standard Risk (<=80%)
5022405,NE,Fillmore    ,Single Family (1-4 Units):Site-Built,172383.0,95000.0,55.11,Standard Risk (<=80%)
5022411,NY,Richmond    ,Single Family (1-4 Units):Site-Built,711786.0,305000.0,42.85,Standard Risk (<=80%)
5022439,LA,Webster Parish   ,Single Family (1-4 Units):Site-Built,325000.0,195000.0,60.0,Standard Risk (<=80%)
5022454,IL,DeKalb    ,Single Family (1-4 Units):Site-Built,180168.0,125000.0,69.38,Standard Risk (<=80%)
5022479,FL,Hernando    ,Single Family (1-4 Units):Site-Built,263350.0,145000.0,55.06,Standard Risk (<=80%)
5022485,IN,Allen    ,Single Family (1-4 Units):Site-Built,183681.0,165000.0,89.83,High Risk (>80%)
5022493,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,396908.0,385000.0,97.0,High Risk (>80%)
5022533,GA,Cobb    ,Single Family (1-4 Units):Site-Built,420000.0,315000.0,75.0,Standard Risk (<=80%)
5022563,OK,Grady    ,Single Family (1-4 Units):Site-Built,365927.0,305000.0,83.35,High Risk (>80%)
5022611,MA,Worcester    ,Single Family (1-4 Units):Site-Built,299292.0,245000.0,81.86,High Risk (>80%)
5022621,NC,Watauga    ,Single Family (1-4 Units):Site-Built,289342.0,155000.0,53.57,Standard Risk (<=80%)
5022682,CT,Hartford    ,Single Family (1-4 Units):Site-Built,261112.0,235000.0,90.0,High Risk (>80%)
5022687,PA,Chester    ,Single Family (1-4 Units):Site-Built,273816.0,215000.0,78.52,Standard Risk (<=80%)
5022721,CA,San Diego   ,Single Family (1-4 Units):Site-Built,934189.0,335000.0,35.86,Standard Risk (<=80%)
5022728,NV,Clark    ,Single Family (1-4 Units):Site-Built,408192.0,295000.0,72.27,Standard Risk (<=80%)
5022758,TX,Williamson    ,Single Family (1-4 Units):Site-Built,380254.0,285000.0,74.95,Standard Risk (<=80%)
5022786,AZ,Maricopa    ,Single Family (1-4 Units):Site-Built,380000.0,285000.0,75.0,Standard Risk (<=80%)
5022833,GA,Charlton    ,Single Family (1-4 Units):Site-Built,233844.0,165000.0,70.56,Standard Risk (<=80%)
5022871,FL,Manatee    ,Single Family (1-4 Units):Site-Built,402830.0,205000.0,50.89,Standard Risk (<=80%)
5022882,KY,Barren    ,Single Family (1-4 Units):Site-Built,168919.0,125000.0,74.0,Standard Risk (<=80%)
5022904,VA,Suffolk city   ,Single Family (1-4 Units):Site-Built,320907.0,235000.0,73.23,Standard Risk (<=80%)
5022915,NJ,Sussex    ,Single Family (1-4 Units):Site-Built,417691.0,255000.0,61.05,Standard Risk (<=80%)
5022925,VA,Rockbridge    ,Single Family (1-4 Units):Site-Built,257353.0,175000.0,68.0,Standard Risk (<=80%)
5022951,WA,King    ,Single Family (1-4 Units):Site-Built,288832.0,135000.0,46.74,Standard Risk (<=80%)
5022965,GA,Barrow    ,Single Family (1-4 Units):Site-Built,631607.0,245000.0,38.79,Standard Risk (<=80%)
5022978,CA,Butte    ,Single Family (1-4 Units):Site-Built,398149.0,215000.0,54.0,Standard Risk (<=80%)
5023101,VA,Hampton city   ,Single Family (1-4 Units):Site-Built,281250.0,225000.0,80.0,Standard Risk (<=80%)
5023121,AZ,Maricopa    ,Single Family (1-4 Units):Site-Built,456755.0,235000.0,51.45,Standard Risk (<=80%)
5023130,TX,Bexar    ,Single Family (1-4 Units):Site-Built,154412.0,105000.0,68.0,Standard Risk (<=80%)
5023157,MO,St. Louis   ,Single Family (1-4 Units):Site-Built,215790.0,205000.0,95.0,High Risk (>80%)
5023188,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,808334.0,485000.0,60.0,Standard Risk (<=80%)
5023227,TX,San Jacinto   ,Single Family (1-4 Units):Site-Built,598627.0,305000.0,50.95,Standard Risk (<=80%)
5023272,TX,Tarrant    ,Single Family (1-4 Units):Site-Built,260886.0,145000.0,55.58,Standard Risk (<=80%)
5023318,TX,Travis    ,Single Family (1-4 Units):Site-Built,885339.0,655000.0,73.98,Standard Risk (<=80%)
5023389,CA,Santa Clara   ,Single Family (1-4 Units):Site-Built,1483403.0,715000.0,48.2,Standard Risk (<=80%)
5023391,CA,San Francisco   ,Single Family (1-4 Units):Site-Built,1008326.0,545000.0,54.05,Standard Risk (<=80%)
5023409,NC,Rowan    ,Single Family (1-4 Units):Site-Built,330770.0,215000.0,65.0,Standard Risk (<=80%)
5023429,NJ,Morris    ,Single Family (1-4 Units):Site-Built,901786.0,505000.0,56.0,Standard Risk (<=80%)
5023458,MI,Kalamazoo    ,Single Family (1-4 Units):Site-Built,244602.0,145000.0,59.28,Standard Risk (<=80%)
5023477,MO,Stone    ,Single Family (1-4 Units):Site-Built,180029.0,75000.0,41.66,Standard Risk (<=80%)
5023544,CO,Denver    ,Single Family (1-4 Units):Site-Built,808738.0,485000.0,59.97,Standard Risk (<=80%)
5023547,NJ,Passaic    ,Single Family (1-4 Units):Site-Built,568750.0,455000.0,80.0,Standard Risk (<=80%)
5023596,FL,Brevard    ,Single Family (1-4 Units):Site-Built,494695.0,345000.0,69.74,Standard Risk (<=80%)
5023615,CT,Fairfield    ,Single Family (1-4 Units):Site-Built,441888.0,265000.0,59.97,Standard Risk (<=80%)
5023660,NJ,Warren    ,Single Family (1-4 Units):Site-Built,218379.0,125000.0,57.24,Standard Risk (<=80%)
5023681,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,688734.0,335000.0,48.64,Standard Risk (<=80%)
5023684,MT,Cascade    ,Single Family (1-4 Units):Site-Built,275000.0,165000.0,60.0,Standard Risk (<=80%)
5023760,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,1016667.0,305000.0,30.0,Standard Risk (<=80%)
5023762,PA,Delaware    ,Single Family (1-4 Units):Site-Built,170700.0,115000.0,67.37,Standard Risk (<=80%)
5023809,DE,Kent    ,Single Family (1-4 Units):Site-Built,307150.0,235000.0,76.51,Standard Risk (<=80%)
5023813,CA,Ventura    ,Single Family (1-4 Units):Site-Built,507076.0,215000.0,42.4,Standard Risk (<=80%)
5023831,CA,Sacramento    ,Single Family (1-4 Units):Site-Built,484196.0,265000.0,54.73,Standard Risk (<=80%)
5023928,MI,Wayne    ,Single Family (1-4 Units):Site-Built,116667.0,105000.0,90.0,High Risk (>80%)
5023955,MI,St. Clair   ,Single Family (1-4 Units):Site-Built,277352.0,235000.0,84.73,High Risk (>80%)
5023956,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,980721.0,585000.0,59.65,Standard Risk (<=80%)
5023964,CA,Alameda    ,Single Family (1-4 Units):Site-Built,2155937.0,365000.0,16.93,Standard Risk (<=80%)
5021369,TX,Travis    ,Single Family (1-4 Units):Site-Built,651303.0,325000.0,49.9,Standard Risk (<=80%)
5021405,CT,Tolland    ,Single Family (1-4 Units):Site-Built,232759.0,135000.0,58.0,Standard Risk (<=80%)
5021409,CA,San Diego   ,Single Family (1-4 Units):Site-Built,855305.0,545000.0,63.72,Standard Risk (<=80%)
5021418,NJ,Cumberland    ,Single Family (1-4 Units):Site-Built,210026.0,75000.0,35.71,Standard Risk (<=80%)
5021420,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,895017.0,555000.0,62.01,Standard Risk (<=80%)
5021437,CA,San Diego   ,Single Family (1-4 Units):Site-Built,512446.0,175000.0,34.15,Standard Risk (<=80%)
5021511,CA,Los Angeles   ,Single Family (1-4 Units):Site-Built,1275420.0,715000.0,56.06,Standard Risk (<=80%)
5021625,TX,Travis    ,Single Family (1-4 Units):Site-Built,298612.0,215000.0,72.0,Standard Risk (<=80%)
