loan_id,annual_income,recurring_monthly_debt,principal_interest_pmt,median_fico_score,occupancy_type,dti_ratio,fico_tier
5021420,289000.0,8189.0,2260.5600000000004,643.0,Investment property,43.39,Fair
5021437,36000.0,1410.0,775.37,643.0,Primary residence,72.85,Fair
5021511,175000.0,6125.0,3867.63,643.0,Primary residence,68.52,Fair
5021625,91000.0,3261.0,1393.49,643.0,Primary residence,61.38,Fair
5021631,83000.0,2075.0,1285.57,643.0,Primary residence,48.59,Fair
5021642,90000.0,3525.0,946.63,643.0,Primary residence,59.62,Fair
5021662,141000.0,4230.0,1504.39,643.0,Primary residence,48.8,Fair
5021688,70000.0,584.0,629.77,643.0,Primary residence,20.81,Fair
5021709,104000.0,1907.0,1221.01,643.0,Primary residence,36.09,Fair
5021722,183000.0,7473.0,2255.76,643.0,Primary residence,63.8,Fair
5021836,31000.0,775.0,242.48,643.0,Primary residence,39.39,Fair
5021915,331000.0,3310.0,3053.32,643.0,Primary residence,23.07,Fair
5021949,70000.0,2859.0,1432.24,643.0,Primary residence,73.56,Fair
5021961,167000.0,3897.0,2121.1000000000004,644.0,Primary residence,43.24,Fair
5021965,75000.0,2938.0,1385.25,644.0,Primary residence,69.17,Fair
5021998,67000.0,1731.0,931.28,644.0,Primary residence,47.68,Fair
5022038,299000.0,6977.0,2728.44,644.0,Primary residence,38.95,Fair
5022045,135000.0,2588.0,2090.2000000000003,644.0,Primary residence,41.58,Fair
5022054,66000.0,2035.0,475.99,644.0,Primary residence,45.65,Fair
5022114,194000.0,4850.0,1071.05,644.0,Primary residence,36.63,Fair
5022133,132000.0,2750.0,1829.86,644.0,Primary residence,41.64,Fair
5022142,160000.0,6267.0,1869.09,644.0,Primary residence,61.02,Fair
5022145,24000.0,840.0,590.6,644.0,Primary residence,71.53,Fair
5022277,127000.0,4657.0,796.9399999999999,644.0,Primary residence,51.53,Fair
5022285,105000.0,2888.0,969.25,644.0,Primary residence,44.08,Fair
5022308,45000.0,1500.0,639.25,644.0,Primary residence,57.05,Fair
5022316,61000.0,1475.0,525.03,644.0,Primary residence,39.34,Fair
5022332,54000.0,1755.0,976.12,644.0,Primary residence,60.69,Fair
5022355,161000.0,6575.0,2255.76,645.0,Primary residence,65.82,Fair
5022402,136000.0,3400.0,1055.45,645.0,Primary residence,39.31,Fair
5022472,226000.0,3390.0,1701.08,645.0,Primary residence,27.03,Fair
5022481,46000.0,1840.0,585.95,645.0,Primary residence,63.29,Fair
5022490,42000.0,1260.0,759.56,645.0,Primary residence,57.7,Fair
5022498,82000.0,2050.0,1470.82,645.0,Primary residence,51.52,Fair
5022526,92000.0,3450.0,817.33,645.0,Primary residence,55.66,Fair
5022558,142000.0,1775.0,1365.06,645.0,Primary residence,26.54,Fair
5022583,67000.0,1955.0,1601.96,645.0,Primary residence,63.71,Fair
5022590,428000.0,5350.0,2365.4700000000003,645.0,Primary residence,21.63,Fair
5022617,31000.0,1189.0,693.04,645.0,Primary residence,72.85,Fair
5022622,27000.0,675.0,434.59999999999997,645.0,Primary residence,49.32,Fair
5022633,80000.0,2534.0,651.03,645.0,Primary residence,47.78,Fair
5022666,47000.0,980.0,600.55,645.0,Primary residence,40.35,Fair
5022678,471000.0,12168.0,2206.69,645.0,Primary residence,36.62,Fair
5022694,49000.0,1715.0,600.16,646.0,Primary residence,56.7,Fair
5022703,36000.0,1260.0,625.79,646.0,Primary residence,62.86,Fair
5022711,140000.0,1750.0,903.04,646.0,Primary residence,22.74,Fair
5022731,36000.0,900.0,369.42,646.0,Primary residence,42.31,Fair
5022743,32000.0,1094.0,499.14,646.0,Primary residence,59.74,Fair
5022768,132000.0,1430.0,1711.62,646.0,Primary residence,28.56,Fair
5022772,150000.0,2375.0,846.37,646.0,Primary residence,25.77,Fair
5022790,69000.0,1208.0,783.55,646.0,Primary residence,34.64,Fair
5022796,43000.0,1649.0,1199.05,646.0,Primary residence,79.48,Fair
5022848,50000.0,1000.0,771.5,646.0,Primary residence,42.52,Fair
5022893,85000.0,2125.0,1405.22,646.0,Primary residence,49.84,Fair
5022896,139000.0,1970.0,1418.18,646.0,Primary residence,29.25,Fair
5022938,75000.0,2250.0,1004.0699999999999,646.0,Primary residence,52.07,Fair
5022961,83000.0,2490.0,1308.89,646.0,Primary residence,54.92,Fair
5023012,117000.0,4388.0,1239.06,647.0,Second residence,57.71,Fair
5023020,175000.0,5688.0,2884.03,647.0,Second residence,58.78,Fair
5023036,125000.0,3334.0,712.79,647.0,Primary residence,38.85,Fair
5023044,120000.0,4200.0,1464.71,647.0,Primary residence,56.65,Fair
5023066,55000.0,1100.0,672.06,647.0,Primary residence,38.66,Fair
5023097,61000.0,1576.0,1260.43,647.0,Primary residence,55.8,Fair
5023104,93000.0,2248.0,840.02,647.0,Primary residence,39.85,Fair
5023107,163000.0,4483.0,2445.2000000000003,647.0,Primary residence,51.01,Fair
5023175,74000.0,3022.0,2157.6800000000003,647.0,Primary residence,83.99,Fair
5023180,108000.0,1800.0,846.37,647.0,Primary residence,29.4,Fair
5023187,33000.0,633.0,581.55,647.0,Primary residence,44.17,Fair
5023190,131000.0,3603.0,997.91,647.0,Primary residence,42.15,Fair
5023283,163000.0,4755.0,1303.79,647.0,Primary residence,44.6,Fair
5023293,31000.0,1189.0,759.56,647.0,Primary residence,75.43,Fair
5023329,190000.0,2850.0,1596.45,647.0,Primary residence,28.08,Fair
5023374,251000.0,2301.0,1066.69,647.0,Primary residence,16.1,Fair
5023387,30000.0,1075.0,441.02,648.0,Primary residence,60.64,Fair
5023395,120000.0,2100.0,902.64,648.0,Primary residence,30.03,Fair
5023423,428000.0,9274.0,1168.27,648.0,Investment property,29.28,Fair
5023433,229000.0,7634.0,1911.09,648.0,Primary residence,50.02,Fair
5023444,360000.0,9900.0,3414.69,648.0,Primary residence,44.38,Fair
5023454,73000.0,1643.0,667.71,648.0,Primary residence,37.98,Fair
5023468,127000.0,4234.0,991.93,648.0,Primary residence,49.38,Fair
5023493,104000.0,867.0,1096.97,648.0,Primary residence,22.66,Fair
5023499,,,1236.99,648.0,Primary residence,,Fair
5023506,138000.0,2415.0,1898.96,648.0,Primary residence,37.51,Fair
5023523,119000.0,2182.0,1117.17,648.0,Primary residence,33.27,Fair
5023566,90000.0,3450.0,2012.78,648.0,Primary residence,72.84,Fair
5023621,29000.0,1185.0,357.02,648.0,Primary residence,63.81,Fair
5023627,214000.0,4637.0,1974.85,648.0,Primary residence,37.08,Fair
5023635,45000.0,1125.0,632.78,648.0,Primary residence,46.87,Fair
5023637,56000.0,1680.0,931.28,649.0,Primary residence,55.96,Fair
5023663,78000.0,2730.0,1533.07,649.0,Primary residence,65.59,Fair
5023669,167000.0,6124.0,3049.4300000000003,649.0,Primary residence,65.92,Fair
5023678,46000.0,1610.0,1113.05,649.0,Primary residence,71.04,Fair
5023709,104000.0,1127.0,1107.52,649.0,Primary residence,25.78,Fair
5023720,121000.0,3328.0,1519.8,649.0,Primary residence,48.08,Fair
5023723,23000.0,729.0,512.22,649.0,Primary residence,64.76,Fair
5023748,79000.0,2239.0,1038.64,649.0,Primary residence,49.79,Fair
5023774,45000.0,1388.0,724.33,649.0,Primary residence,56.33,Fair
5023805,96000.0,3920.0,2959.4,649.0,Primary residence,85.99,Fair
5023808,65000.0,1463.0,686.56,649.0,Primary residence,39.68,Fair
5023817,45000.0,1538.0,956.45,649.0,Primary residence,66.52,Fair
5023856,144000.0,2760.0,1584.02,649.0,Primary residence,36.2,Fair
5023860,151000.0,4782.0,778.64,649.0,Second residence,44.19,Fair
5023872,109000.0,3815.0,1352.22,649.0,Primary residence,56.89,Fair
5023876,92000.0,1687.0,1012.05,649.0,Primary residence,35.21,Fair
5023894,79000.0,2305.0,1088.37,649.0,Primary residence,51.54,Fair
5023913,72000.0,2820.0,1944.05,649.0,Primary residence,79.4,Fair
5023917,282000.0,5405.0,3661.96,649.0,Primary residence,38.58,Fair
5023946,230000.0,3834.0,861.04,650.0,Second residence,24.5,Fair
5023950,182000.0,5157.0,2887.92,650.0,Primary residence,53.04,Fair
5023971,79000.0,2370.0,897.31,650.0,Primary residence,49.63,Fair
5024003,160000.0,6267.0,1711.05,650.0,Investment property,59.84,Fair
5021364,147000.0,5145.0,1627.62,650.0,Investment property,55.29,Fair
5021381,22000.0,495.0,2644.3500000000004,650.0,Investment property,171.24,Fair
5021400,135000.0,3263.0,1316.06,650.0,Primary residence,40.7,Fair
5021412,61000.0,2390.0,707.29,650.0,Primary residence,60.93,Fair
5021422,91000.0,3565.0,1860.81,650.0,Primary residence,71.55,Fair
5021455,120000.0,3800.0,1323.8,650.0,Investment property,51.24,Fair
5021465,43000.0,1577.0,492.15999999999997,650.0,Primary residence,57.74,Fair
5021488,145000.0,5075.0,1759.08,650.0,Primary residence,56.56,Fair
5021493,88000.0,1614.0,1123.76,650.0,Primary residence,37.33,Fair
5021516,263000.0,6137.0,2346.09,650.0,Primary residence,38.71,Fair
5021558,119000.0,3967.0,1844.64,650.0,Primary residence,58.6,Fair
5021573,116000.0,3964.0,1759.08,650.0,Primary residence,59.2,Fair
5021586,176000.0,5867.0,1407.07,650.0,Primary residence,49.6,Fair
5021603,229000.0,3245.0,1994.27,650.0,Primary residence,27.45,Fair
5021636,104000.0,1820.0,1328.68,650.0,Primary residence,36.33,Fair
5021679,131000.0,4585.0,2402.67,650.0,Primary residence,64.01,Fair
5021708,81000.0,1823.0,846.37,650.0,Primary residence,39.55,Fair
5021720,42000.0,1505.0,637.67,650.0,Primary residence,61.22,Fair
5021727,116000.0,1644.0,961.35,650.0,Primary residence,26.95,Fair
5021749,98000.0,3757.0,1217.7,650.0,Primary residence,60.91,Fair
5021758,109000.0,2090.0,1239.06,651.0,Primary residence,36.65,Fair
5021763,92000.0,2760.0,1340.28,651.0,Primary residence,53.48,Fair
5021768,33000.0,1320.0,637.67,651.0,Primary residence,71.19,Fair
5021777,65000.0,2167.0,1071.05,651.0,Primary residence,59.78,Fair
5021832,45000.0,1538.0,438.23,651.0,Primary residence,52.7,Fair
5021835,79000.0,2568.0,1113.97,651.0,Primary residence,55.93,Fair
5021848,70000.0,2334.0,1004.0699999999999,651.0,Primary residence,57.22,Fair
5021854,68000.0,1927.0,735.04,651.0,Primary residence,46.98,Fair
5021857,290000.0,5800.0,2600.0400000000004,651.0,Primary residence,34.76,Fair
5021887,190000.0,6175.0,1869.09,651.0,Primary residence,50.8,Fair
5021891,103000.0,3605.0,1945.87,651.0,Primary residence,64.67,Fair
5021899,104000.0,3034.0,514.9,651.0,Primary residence,40.95,Fair
5021902,42000.0,700.0,470.13,651.0,Primary residence,33.43,Fair
5021933,126000.0,3990.0,1801.23,651.0,Primary residence,55.15,Fair
