loan_id,loan_amount,interest_rate,loan_term,loan_purpose,closing_date,securitization_price,max_whole_loan_bid,best_whole_loan_buyer,target_profit_usd,best_execution_method,best_execution_price,origination_charges,lender_credits,realized_gross_profit,profit_variance
5021523,205000.0,3.375,360,Cash-out refinance,2021-09-08,104.61,0.0,Golden Sachs,10250.00000000001,Securitization (UMBS),104.61,799.5000000000036,0.0,9450.5,-799.5
5021532,465000.0,2.75,360,Cash-out refinance,2021-09-14,103.19,0.0,Golden Sachs,23250.000000000022,Securitization (UMBS),103.19,8416.500000000004,0.0,14833.5,-8416.5
5021581,105000.0,2.99,360,Cash-out refinance,2021-09-14,103.19,0.0,Golden Sachs,5250.000000000005,Securitization (UMBS),103.19,1900.5000000000005,0.0,3349.5,-1900.5
5021598,135000.0,3.375,360,Cash-out refinance,2021-09-17,104.61,0.0,Golden Sachs,6750.000000000006,Securitization (UMBS),104.61,526.5000000000027,0.0,6223.5,-526.5
5021612,205000.0,2.875,300,Refinancing,2021-09-17,103.19,0.0,Golden Sachs,10250.00000000001,Securitization (UMBS),103.19,3710.500000000001,0.0,6539.5,-3710.5
5022641,165000.0,2.625,180,Cash-out refinance,2021-08-27,99.88,0.0,Golden Sachs,8250.000000000007,Securitization (UMBS),99.88,8448.000000000022,0.0,-198.0,-8448.0
5022654,245000.0,2.75,360,Refinancing,2021-09-01,103.19,0.0,Golden Sachs,12250.000000000011,Securitization (UMBS),103.19,4434.500000000001,0.0,7815.5,-4434.5
5021853,125000.0,3.25,180,Cash-out refinance,2021-09-03,104.61,0.0,Golden Sachs,6250.0000000000055,Securitization (UMBS),104.61,487.5000000000018,0.0,5762.5,-487.5
5022235,105000.0,2.125,120,Cash-out refinance,2021-09-14,97.45,0.0,Golden Sachs,5250.000000000005,Securitization (UMBS),97.45,7927.500000000001,0.0,-2677.5,-7927.5
5023160,255000.0,3.375,360,Refinancing,2021-09-16,104.61,0.0,Golden Sachs,12750.000000000011,Securitization (UMBS),104.61,994.5000000000036,0.0,11755.5,-994.5
5021973,155000.0,2.625,180,Refinancing,2021-09-17,99.88,0.0,Golden Sachs,7750.000000000007,Securitization (UMBS),99.88,7936.000000000021,0.0,-186.0,-7936.0
5023211,775000.0,2.75,360,Refinancing,2021-08-25,103.19,0.0,Golden Sachs,38750.00000000004,Securitization (UMBS),103.19,14027.500000000007,0.0,24722.5,-14027.5
5023240,165000.0,3.375,324,Refinancing,2021-09-01,104.61,0.0,Golden Sachs,8250.000000000007,Securitization (UMBS),104.61,643.5000000000027,0.0,7606.5,-643.5
5023303,205000.0,2.75,360,Refinancing,2021-09-03,103.19,0.0,Golden Sachs,10250.00000000001,Securitization (UMBS),103.19,3710.500000000001,0.0,6539.5,-3710.5
5022088,755000.0,2.875,360,Home purchase,2021-09-07,103.19,0.0,Golden Sachs,37750.00000000004,Securitization (UMBS),103.19,13665.500000000007,0.0,24084.5,-13665.5
5022201,165000.0,3.375,360,Refinancing,2021-09-11,104.61,0.0,Golden Sachs,8250.000000000007,Securitization (UMBS),104.61,643.5000000000027,0.0,7606.5,-643.5
5022474,105000.0,3.625,360,Refinancing,2021-09-14,104.61,0.0,Golden Sachs,5250.000000000005,Securitization (UMBS),104.61,409.5000000000018,0.0,4840.5,-409.5
5022121,155000.0,3.25,300,Cash-out refinance,2021-09-14,104.61,0.0,Golden Sachs,7750.000000000007,Securitization (UMBS),104.61,604.5000000000027,0.0,7145.5,-604.5
5022501,165000.0,2.99,360,Cash-out refinance,2021-09-01,103.19,0.0,Golden Sachs,8250.000000000007,Securitization (UMBS),103.19,2986.500000000001,0.0,5263.5,-2986.5
5023361,445000.0,3.25,360,Cash-out refinance,2021-09-02,105.0,0.0,Golden Sachs,22250.00000000002,Securitization (UMBS),105.0,0.0,0.0,22250.0,-0.0
5021792,75000.0,2.875,360,Refinancing,2021-09-02,103.19,0.0,Golden Sachs,3750.000000000003,Securitization (UMBS),103.19,1357.5,0.0,2392.5,-1357.5
5022738,355000.0,2.75,360,Home purchase,2021-09-04,103.19,0.0,Golden Sachs,17750.000000000015,Securitization (UMBS),103.19,6425.5,0.0,11324.5,-6425.5
5021705,545000.0,2.125,180,Refinancing,2021-09-07,97.45,0.0,Golden Sachs,27250.000000000025,Securitization (UMBS),97.45,41147.50000000001,0.0,-13897.5,-41147.5
5021745,295000.0,2.875,360,Refinancing,2021-09-11,103.19,0.0,Golden Sachs,14750.000000000013,Securitization (UMBS),103.19,5339.500000000002,0.0,9410.5,-5339.5
5022330,505000.0,2.75,180,Home improvement,2021-09-17,103.19,0.0,Golden Sachs,25250.000000000022,Securitization (UMBS),103.19,9140.500000000002,0.0,16109.5,-9140.5
5022811,265000.0,2.99,360,Cash-out refinance,2021-09-17,103.19,0.0,Golden Sachs,13250.000000000011,Securitization (UMBS),103.19,4796.5,0.0,8453.5,-4796.5
5021733,205000.0,2.75,324,Refinancing,2021-08-30,103.19,0.0,Golden Sachs,10250.00000000001,Securitization (UMBS),103.19,3710.500000000001,0.0,6539.5,-3710.5
5021841,85000.0,2.75,180,Cash-out refinance,2021-09-03,103.19,0.0,Golden Sachs,4250.000000000004,Securitization (UMBS),103.19,1538.5000000000005,0.0,2711.5,-1538.5
5022021,335000.0,2.25,180,Refinancing,2021-09-04,99.88,0.0,Golden Sachs,16750.000000000015,Securitization (UMBS),99.88,17152.000000000044,0.0,-402.0,-17152.0
5022231,375000.0,1.99,144,Refinancing,2021-09-06,97.45,0.0,Golden Sachs,18750.00000000002,Securitization (UMBS),97.45,28312.500000000007,0.0,-9562.5,-28312.5
5022353,265000.0,3.5,360,Refinancing,2021-09-16,104.61,0.0,Golden Sachs,13250.000000000011,Securitization (UMBS),104.61,1033.5000000000036,0.0,12216.5,-1033.5
5022892,275000.0,3.125,360,Cash-out refinance,2021-08-14,103.19,0.0,Golden Sachs,13750.000000000013,Securitization (UMBS),103.19,4977.500000000002,0.0,8772.5,-4977.5
5023167,195000.0,3.625,360,Cash-out refinance,2021-09-02,104.61,0.0,Golden Sachs,9750.00000000001,Securitization (UMBS),104.61,760.5000000000036,0.0,8989.5,-760.5
5023479,185000.0,2.625,180,Cash-out refinance,2021-09-04,99.88,0.0,Golden Sachs,9250.00000000001,Securitization (UMBS),99.88,9472.000000000025,0.0,-222.0,-9472.0
5022398,215000.0,1.875,120,Refinancing,2021-09-04,97.45,0.0,Golden Sachs,10750.00000000001,Securitization (UMBS),97.45,16232.500000000002,0.0,-5482.5,-16232.5
5023149,645000.0,2.75,180,Refinancing,2021-09-10,103.19,0.0,Golden Sachs,32250.00000000003,Securitization (UMBS),103.19,11674.500000000004,0.0,20575.5,-11674.5
5023154,595000.0,3.19,360,Refinancing,2021-09-16,103.19,0.0,Golden Sachs,29750.000000000025,Securitization (UMBS),103.19,10769.500000000004,0.0,18980.5,-10769.5
5023489,255000.0,2.875,360,Cash-out refinance,2021-08-24,103.19,0.0,Golden Sachs,12750.000000000011,Securitization (UMBS),103.19,4615.500000000001,0.0,8134.5,-4615.5
5021772,355000.0,2.875,360,Home purchase,2021-08-26,103.19,0.0,Golden Sachs,17750.000000000015,Securitization (UMBS),103.19,6425.5,1729.81,11324.5,-6425.5
5021882,225000.0,3.5,360,Refinancing,2021-09-01,104.61,0.0,Golden Sachs,11250.00000000001,Securitization (UMBS),104.61,877.5000000000018,0.0,10372.5,-877.5
5022863,725000.0,2.875,360,Refinancing,2021-09-02,103.19,0.0,Golden Sachs,36250.00000000003,Securitization (UMBS),103.19,13122.5,0.0,23127.5,-13122.5
5023519,265000.0,2.875,360,Refinancing,2021-09-03,103.19,0.0,Golden Sachs,13250.000000000011,Securitization (UMBS),103.19,4796.5,0.0,8453.5,-4796.5
5023290,245000.0,2.625,240,Refinancing,2021-09-08,99.88,0.0,Golden Sachs,12250.000000000011,Securitization (UMBS),99.88,12544.000000000033,0.0,-294.0,-12544.0
5021823,155000.0,3.375,360,Refinancing,2021-09-10,104.61,0.0,Golden Sachs,7750.000000000007,Securitization (UMBS),104.61,604.5000000000027,0.0,7145.5,-604.5
5022658,335000.0,2.875,360,Cash-out refinance,2021-09-11,103.19,0.0,Golden Sachs,16750.000000000015,Securitization (UMBS),103.19,6063.500000000002,0.0,10686.5,-6063.5
5022663,215000.0,3.25,360,Cash-out refinance,2021-09-14,104.61,0.0,Golden Sachs,10750.00000000001,Securitization (UMBS),104.61,838.5000000000018,0.0,9911.5,-838.5
5023419,175000.0,2.25,180,Cash-out refinance,2021-08-24,99.88,0.0,Golden Sachs,8750.000000000007,Securitization (UMBS),99.88,8960.000000000024,0.0,-210.0,-8960.0
5022912,265000.0,2.99,360,Home purchase,2021-09-01,103.19,0.0,Golden Sachs,13250.000000000011,Securitization (UMBS),103.19,4796.5,0.0,8453.5,-4796.5
5023076,555000.0,2.875,360,Cash-out refinance,2021-09-01,103.19,0.0,Golden Sachs,27750.000000000025,Securitization (UMBS),103.19,10045.500000000004,0.0,17704.5,-10045.5
5023276,475000.0,2.75,360,Home purchase,2021-09-01,103.19,0.0,Golden Sachs,23750.000000000022,Securitization (UMBS),103.19,8597.500000000004,0.0,15152.5,-8597.5
5023401,375000.0,2.875,360,Refinancing,2021-09-03,103.19,0.0,Golden Sachs,18750.00000000002,Securitization (UMBS),103.19,6787.500000000004,0.0,11962.5,-6787.5
5022024,65000.0,3.375,360,Home purchase,2021-09-04,104.61,0.0,Golden Sachs,3250.0000000000027,Securitization (UMBS),104.61,253.5000000000009,0.0,2996.5,-253.5
5022445,325000.0,2.75,360,Refinancing,2021-09-07,103.19,0.0,Golden Sachs,16250.000000000015,Securitization (UMBS),103.19,5882.500000000002,0.0,10367.5,-5882.5
5022764,235000.0,2.5,144,Cash-out refinance,2021-09-07,99.88,0.0,Golden Sachs,11750.000000000011,Securitization (UMBS),99.88,12032.000000000033,0.0,-282.0,-12032.0
5022827,255000.0,1.99,240,Refinancing,2021-09-09,97.45,0.0,Golden Sachs,12750.000000000011,Securitization (UMBS),97.45,19252.500000000004,0.0,-6502.5,-19252.5
5022722,325000.0,2.375,180,Refinancing,2021-09-11,99.88,0.0,Golden Sachs,16250.000000000015,Securitization (UMBS),99.88,16640.000000000044,0.0,-390.0,-16640.0
5022824,175000.0,2.99,360,Refinancing,2021-08-28,103.19,0.0,Golden Sachs,8750.000000000007,Securitization (UMBS),103.19,3167.5,0.0,5582.5,-3167.5
5023253,175000.0,2.25,180,Refinancing,2021-09-16,99.88,0.0,Golden Sachs,8750.000000000007,Securitization (UMBS),99.88,8960.000000000024,0.0,-210.0,-8960.0
5023370,365000.0,3.25,360,Home improvement,2021-08-24,104.61,0.0,Golden Sachs,18250.000000000015,Securitization (UMBS),104.61,1423.5000000000036,0.0,16826.5,-1423.5
5021673,1005000.0,2.99,360,Home purchase,2021-08-24,103.19,0.0,Golden Sachs,50250.000000000044,Securitization (UMBS),103.19,18190.500000000004,0.0,32059.5,-18190.5
5021939,395000.0,2.125,180,Cash-out refinance,2021-08-26,97.45,0.0,Golden Sachs,19750.00000000002,Securitization (UMBS),97.45,29822.500000000007,0.0,-10072.5,-29822.5
5022459,355000.0,2.99,360,Refinancing,2021-09-04,103.19,102.40875,PJ Logan,17750.000000000015,Securitization (UMBS),103.19,6425.5,0.0,11324.5,-6425.5
5022535,235000.0,2.875,360,Home purchase,2021-09-04,103.19,102.47125,Storgan Manley,11750.000000000011,Securitization (UMBS),103.19,4253.500000000002,0.0,7496.5,-4253.5
5022556,265000.0,2.75,360,Cash-out refinance,2021-09-08,103.19,102.47125,Storgan Manley,13250.000000000011,Securitization (UMBS),103.19,4796.5,0.0,8453.5,-4796.5
5021713,215000.0,2.99,360,Cash-out refinance,2021-08-25,103.19,102.47125,Storgan Manley,10750.00000000001,Securitization (UMBS),103.19,3891.500000000001,0.0,6858.5,-3891.5
5021815,215000.0,1.99,120,Refinancing,2021-08-27,97.45,96.66875,PJ Logan,10750.00000000001,Securitization (UMBS),97.45,16232.500000000002,0.0,-5482.5,-16232.5
5021951,145000.0,2.75,180,Refinancing,2021-09-04,103.19,102.40875,PJ Logan,7250.000000000006,Securitization (UMBS),103.19,2624.500000000001,0.0,4625.5,-2624.5
5022001,205000.0,2.75,180,Refinancing,2021-09-04,103.19,102.34625,PJ Logan,10250.00000000001,Securitization (UMBS),103.19,3710.500000000001,0.0,6539.5,-3710.5
5022165,235000.0,1.99,180,Refinancing,2021-09-07,97.45,96.66875,PJ Logan,11750.000000000011,Securitization (UMBS),97.45,17742.500000000004,0.0,-5992.5,-17742.5
5022190,235000.0,2.75,360,Refinancing,2021-09-08,103.19,102.47125,Storgan Manley,11750.000000000011,Securitization (UMBS),103.19,4253.500000000002,0.0,7496.5,-4253.5
5022591,415000.0,2.75,180,Cash-out refinance,2021-09-08,103.19,102.47125,Storgan Manley,20750.00000000002,Securitization (UMBS),103.19,7511.500000000002,0.0,13238.5,-7511.5
5023171,315000.0,2.125,180,Home purchase,2021-09-10,97.45,98.04375,Smells Largo,15750.000000000015,Whole Loan Sale,98.04375,23782.500000000004,0.0,-6162.19,-21912.19
5022113,65000.0,3.14,360,Refinancing,2021-09-11,103.19,102.40875,PJ Logan,3250.0000000000027,Securitization (UMBS),103.19,1176.5,0.0,2073.5,-1176.5
5022318,295000.0,2.99,360,Home purchase,2021-09-11,103.19,102.47125,Storgan Manley,14750.000000000013,Securitization (UMBS),103.19,5339.500000000002,0.0,9410.5,-5339.5
5022596,315000.0,2.875,180,Cash-out refinance,2021-08-24,103.19,102.47125,Storgan Manley,15750.000000000015,Securitization (UMBS),103.19,5701.500000000002,0.0,10048.5,-5701.5
5022597,285000.0,2.99,360,Refinancing,2021-08-31,103.19,102.47125,Storgan Manley,14250.000000000013,Securitization (UMBS),103.19,5158.500000000002,0.0,9091.5,-5158.5
5022608,185000.0,2.75,360,Refinancing,2021-08-31,103.19,102.47125,Storgan Manley,9250.00000000001,Securitization (UMBS),103.19,3348.500000000002,0.0,5901.5,-3348.5
5022775,365000.0,2.75,240,Cash-out refinance,2021-09-03,103.19,102.40875,PJ Logan,18250.000000000015,Securitization (UMBS),103.19,6606.5,0.0,11643.5,-6606.5
5022898,425000.0,2.75,240,Cash-out refinance,2021-09-03,103.19,102.40875,PJ Logan,21250.00000000002,Securitization (UMBS),103.19,7692.500000000002,0.0,13557.5,-7692.5
5023046,145000.0,2.75,360,Refinancing,2021-09-06,103.19,102.47125,Storgan Manley,7250.000000000006,Securitization (UMBS),103.19,2624.500000000001,0.0,4625.5,-2624.5
5023114,605000.0,2.99,360,Home purchase,2021-09-08,103.19,103.065,PJ Logan,30250.000000000025,Securitization (UMBS),103.19,10950.5,0.0,19299.5,-10950.5
5023315,405000.0,2.375,156,Cash-out refinance,2021-09-09,99.88,99.09875,PJ Logan,20250.00000000002,Securitization (UMBS),99.88,20736.000000000055,0.0,-486.0,-20736.0
5023324,245000.0,2.375,180,Refinancing,2021-09-14,99.88,99.84875,Golden Sachs,12250.000000000011,Securitization (UMBS),99.88,12544.000000000033,0.0,-294.0,-12544.0
5022408,165000.0,1.99,180,Cash-out refinance,2021-09-14,97.45,96.66875,PJ Logan,8250.000000000007,Securitization (UMBS),97.45,12457.500000000002,0.0,-4207.5,-12457.5
5022615,405000.0,1.99,180,Cash-out refinance,2021-09-15,97.45,96.66875,PJ Logan,20250.00000000002,Securitization (UMBS),97.45,30577.500000000007,0.0,-10327.5,-30577.5
5023521,255000.0,2.5,180,Cash-out refinance,2021-09-16,99.88,99.16125,Storgan Manley,12750.000000000011,Securitization (UMBS),99.88,13056.000000000035,0.0,-306.0,-13056.0
5023530,225000.0,2.99,360,Home purchase,2021-09-02,103.19,103.065,PJ Logan,11250.00000000001,Securitization (UMBS),103.19,4072.5,0.0,7177.5,-4072.5
5023543,175000.0,2.375,180,Refinancing,2021-09-04,99.88,99.16125,Storgan Manley,8750.000000000007,Securitization (UMBS),99.88,8960.000000000024,0.0,-210.0,-8960.0
5023559,275000.0,2.875,360,Home purchase,2021-09-07,103.19,102.34625,PJ Logan,13750.000000000013,Securitization (UMBS),103.19,4977.500000000002,0.0,8772.5,-4977.5
5023562,225000.0,3.375,360,Refinancing,2021-09-09,104.61,103.82875,PJ Logan,11250.00000000001,Securitization (UMBS),104.61,877.5000000000018,0.0,10372.5,-877.5
5023582,215000.0,2.5,240,Refinancing,2021-09-09,99.88,99.09875,PJ Logan,10750.00000000001,Securitization (UMBS),99.88,11008.00000000003,0.0,-258.0,-11008.0
5023606,175000.0,2.5,240,Refinancing,2021-09-13,99.88,99.16125,Storgan Manley,8750.000000000007,Securitization (UMBS),99.88,8960.000000000024,0.0,-210.0,-8960.0
5023623,265000.0,3.5,360,Refinancing,2021-09-14,104.61,105.07875,Smells Largo,13250.000000000011,Whole Loan Sale,105.07875,1033.5000000000036,0.0,13458.69,208.69
5023629,315000.0,3.25,360,Refinancing,2021-09-16,104.61,103.82875,PJ Logan,15750.000000000015,Securitization (UMBS),104.61,1228.5000000000055,0.0,14521.5,-1228.5
5023649,355000.0,2.5,180,Cash-out refinance,2021-09-16,99.88,99.09875,PJ Logan,17750.000000000015,Securitization (UMBS),99.88,18176.000000000047,0.0,-426.0,-18176.0
5023752,375000.0,2.5,240,Cash-out refinance,2021-09-17,99.88,99.16125,Storgan Manley,18750.00000000002,Securitization (UMBS),99.88,19200.00000000005,0.0,-450.0,-19200.0
5023771,85000.0,2.99,180,Refinancing,2021-08-14,103.19,102.47125,Storgan Manley,4250.000000000004,Securitization (UMBS),103.19,1538.5000000000005,0.0,2711.5,-1538.5
5023797,215000.0,3.375,360,Cash-out refinance,2021-09-01,104.61,103.89125,Storgan Manley,10750.00000000001,Securitization (UMBS),104.61,838.5000000000018,0.0,9911.5,-838.5
5023800,345000.0,2.99,360,Cash-out refinance,2021-09-02,103.19,102.47125,Storgan Manley,17250.000000000015,Securitization (UMBS),103.19,6244.500000000002,0.0,11005.5,-6244.5
5023812,135000.0,2.99,180,Home purchase,2021-09-06,103.19,103.065,PJ Logan,6750.000000000006,Securitization (UMBS),103.19,2443.500000000001,0.0,4306.5,-2443.5
5023840,275000.0,2.875,360,Refinancing,2021-09-07,103.19,103.065,PJ Logan,13750.000000000013,Securitization (UMBS),103.19,4977.500000000002,0.0,8772.5,-4977.5
5023844,405000.0,2.625,240,Cash-out refinance,2021-09-07,99.88,99.755,PJ Logan,20250.00000000002,Securitization (UMBS),99.88,20736.000000000055,0.0,-486.0,-20736.0
5023848,185000.0,2.99,360,Refinancing,2021-09-08,103.19,101.69,Golden Sachs,9250.00000000001,Securitization (UMBS),103.19,3348.500000000002,0.0,5901.5,-3348.5
5023865,145000.0,1.99,180,Refinancing,2021-09-09,97.45,95.95,Golden Sachs,7250.000000000006,Securitization (UMBS),97.45,10947.500000000002,0.0,-3697.5,-10947.5
5023940,215000.0,3.375,360,Home purchase,2021-09-15,104.61,103.11,Golden Sachs,10750.00000000001,Securitization (UMBS),104.61,838.5000000000018,0.0,9911.5,-838.5
5023961,145000.0,2.5,144,Refinancing,2021-09-16,99.88,98.47375,Storgan Manley,7250.000000000006,Securitization (UMBS),99.88,7424.000000000019,0.0,-174.0,-7424.0
5023998,195000.0,2.75,360,Refinancing,2021-08-26,103.19,101.03375,Storgan Manley,9750.00000000001,Securitization (UMBS),103.19,3529.500000000002,0.0,6220.5,-3529.5
5024009,125000.0,3.75,360,Cash-out refinance,2021-08-27,105.77,104.92625,Golden Sachs,6250.0000000000055,Securitization (UMBS),105.77,-962.4999999999773,0.0,7212.5,962.5
5021398,735000.0,3.19,360,Cash-out refinance,2021-08-28,103.19,102.34625,Golden Sachs,36750.00000000003,Securitization (UMBS),103.19,13303.5,0.0,23446.5,-13303.5
5021433,315000.0,2.75,360,Refinancing,2021-09-01,103.19,100.8775,Golden Sachs,15750.000000000015,Securitization (UMBS),103.19,5701.500000000002,0.0,10048.5,-5701.5
5021450,605000.0,3.375,360,Home purchase,2021-09-01,104.61,102.36,Golden Sachs,30250.000000000025,Securitization (UMBS),104.61,2359.5000000000073,0.0,27890.5,-2359.5
5021461,205000.0,2.99,360,Refinancing,2021-09-01,104.17,102.76375,Storgan Manley,10250.00000000001,Securitization (UMBS),104.17,1701.4999999999945,0.0,8548.5,-1701.5
5021472,255000.0,3.5,360,Home purchase,2021-09-01,104.61,103.20375,Storgan Manley,12750.000000000011,Securitization (UMBS),104.61,994.5000000000036,0.0,11755.5,-994.5
5021475,85000.0,2.5,144,Refinancing,2021-09-03,99.88,98.59875,Storgan Manley,4250.000000000004,Securitization (UMBS),99.88,4352.000000000011,0.0,-102.0,-4352.0
5021476,385000.0,2.69,360,Cash-out refinance,2021-09-04,99.88,98.47375,Storgan Manley,19250.00000000002,Securitization (UMBS),99.88,19712.000000000055,0.0,-462.0,-19712.0
5021494,295000.0,2.75,360,Home purchase,2021-09-04,103.19,101.78375,Storgan Manley,14750.000000000013,Securitization (UMBS),103.19,5339.500000000002,0.0,9410.5,-5339.5
5021506,435000.0,2.99,360,Home purchase,2021-09-04,103.19,101.69,Golden Sachs,21750.00000000002,Securitization (UMBS),103.19,7873.500000000002,0.0,13876.5,-7873.5
5021518,165000.0,2.75,216,Refinancing,2021-09-10,103.19,101.78375,Storgan Manley,8250.000000000007,Securitization (UMBS),103.19,2986.500000000001,0.0,5263.5,-2986.5
5021534,255000.0,2.75,360,Home purchase,2021-09-13,103.19,101.78375,Storgan Manley,12750.000000000011,Securitization (UMBS),103.19,4615.500000000001,0.0,8134.5,-4615.5
5021537,415000.0,2.99,240,Cash-out refinance,2021-09-15,103.19,101.78375,Storgan Manley,20750.00000000002,Securitization (UMBS),103.19,7511.500000000002,0.0,13238.5,-7511.5
5021539,205000.0,1.99,180,Refinancing,2021-09-15,97.45,96.60625,Golden Sachs,10250.00000000001,Securitization (UMBS),97.45,15477.500000000004,0.0,-5227.5,-15477.5
5021576,115000.0,2.375,144,Refinancing,2021-08-23,99.88,99.03625,Golden Sachs,5750.0000000000055,Securitization (UMBS),99.88,5888.0000000000155,0.0,-138.0,-5888.0
5021597,255000.0,3.25,360,Cash-out refinance,2021-08-24,104.61,104.39125,Smells Largo,12750.000000000011,Securitization (UMBS),104.61,994.5000000000036,0.0,11755.5,-994.5
5021657,315000.0,2.75,360,Refinancing,2021-09-01,103.19,100.94,Golden Sachs,15750.000000000015,Securitization (UMBS),103.19,5701.500000000002,0.0,10048.5,-5701.5
5021670,495000.0,1.99,180,Refinancing,2021-09-04,97.45,95.2625,Golden Sachs,24750.000000000022,Securitization (UMBS),97.45,37372.50000000001,0.0,-12622.5,-37372.5
5021675,305000.0,2.25,180,Cash-out refinance,2021-09-04,99.88,97.8175,Golden Sachs,15250.000000000013,Securitization (UMBS),99.88,15616.00000000004,0.0,-366.0,-15616.0
5021693,275000.0,2.99,360,Cash-out refinance,2021-09-04,103.19,101.09625,Storgan Manley,13750.000000000013,Securitization (UMBS),103.19,4977.500000000002,0.0,8772.5,-4977.5
5021715,85000.0,2.5,144,Refinancing,2021-09-07,99.88,97.78625,Storgan Manley,4250.000000000004,Securitization (UMBS),99.88,4352.000000000011,0.0,-102.0,-4352.0
5021800,105000.0,3.375,360,Refinancing,2021-09-10,105.0,102.90625,Storgan Manley,5250.000000000005,Securitization (UMBS),105.0,0.0,0.0,5250.0,-0.0
5021812,495000.0,2.875,360,Refinancing,2021-09-15,103.19,101.09625,Storgan Manley,24750.000000000022,Securitization (UMBS),103.19,8959.500000000002,0.0,15790.5,-8959.5
5021862,345000.0,3.375,360,Cash-out refinance,2021-09-16,105.0,103.5,Bank of Americans,17250.000000000015,Securitization (UMBS),105.0,0.0,0.0,17250.0,-0.0
5021871,295000.0,2.75,360,Cash-out refinance,2021-09-17,103.19,101.69,Bank of Americans,14750.000000000013,Securitization (UMBS),103.19,5339.500000000002,0.0,9410.5,-5339.5
5021894,205000.0,2.25,180,Refinancing,2021-09-01,99.88,98.38,Bank of Americans,10250.00000000001,Securitization (UMBS),99.88,10496.000000000027,0.0,-246.0,-10496.0
5021907,185000.0,3.19,360,Home purchase,2021-09-02,103.19,102.315,Bank of Americans,9250.00000000001,Securitization (UMBS),103.19,3348.500000000002,0.0,5901.5,-3348.5
5021921,505000.0,2.875,360,Cash-out refinance,2021-09-02,103.19,101.0025,Golden Sachs,25250.000000000022,Securitization (UMBS),103.19,9140.500000000002,0.0,16109.5,-9140.5
5021929,105000.0,3.25,360,Refinancing,2021-09-03,104.61,102.4225,Golden Sachs,5250.000000000005,Securitization (UMBS),104.61,409.5000000000018,0.0,4840.5,-409.5
5021938,225000.0,2.99,360,Refinancing,2021-09-03,103.19,101.09625,Storgan Manley,11250.00000000001,Securitization (UMBS),103.19,4072.5,0.0,7177.5,-4072.5
5021990,195000.0,2.875,204,Refinancing,2021-09-11,103.19,101.09625,Storgan Manley,9750.00000000001,Securitization (UMBS),103.19,3529.500000000002,0.0,6220.5,-3529.5
5022040,135000.0,3.625,360,Other,2021-09-14,104.61,103.11,Bank of Americans,6750.000000000006,Securitization (UMBS),104.61,526.5000000000027,0.0,6223.5,-526.5
5022047,345000.0,2.75,180,Refinancing,2021-09-15,103.19,101.69,Bank of Americans,17250.000000000015,Securitization (UMBS),103.19,6244.500000000002,0.0,11005.5,-6244.5
5022050,665000.0,2.875,360,Refinancing,2021-09-15,103.19,101.0025,Golden Sachs,33250.00000000003,Securitization (UMBS),103.19,12036.500000000004,0.0,21213.5,-12036.5
